t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787167928.866,-60,-94,154,100,80,1
1.008,1787167929.876,-59,-94,154,100,80,1
2.010,1787167930.878,-59,-94,137,100,80,1
3.010,1787167931.878,-59,-94,137,100,80,1
4.010,1787167932.878,-58,-94,137,100,80,1
5.005,1787167933.873,-58,-94,137,100,80,1
6.010,1787167934.879,-58,-94,137,100,80,1
7.003,1787167935.871,-58,-94,648,100,80,1
8.010,1787167936.879,-59,-94,648,100,80,1
9.010,1787167937.878,-58,-94,648,100,80,1
10.007,1787167938.875,-58,-94,648,100,80,1
11.010,1787167939.879,-59,-94,648,100,80,1
12.010,1787167940.878,-58,-94,680,100,80,1
13.010,1787167941.877,-59,-94,680,100,80,1
14.010,1787167942.879,-59,-94,680,100,80,1
15.010,1787167943.877,-59,-94,680,100,80,1
16.010,1787167944.877,-58,-94,680,100,80,1
17.010,1787167945.878,-58,-94,648,100,80,1
18.009,1787167946.876,-58,-94,648,100,80,1
19.010,1787167947.878,-58,-94,648,100,80,1
20.010,1787167948.877,-58,-94,648,100,80,1
21.010,1787167949.878,-59,-94,648,100,80,1
22.004,1787167950.871,-60,-94,612,100,80,1
23.000,1787167951.869,-57,-94,612,100,80,1
24.010,1787167952.878,-58,-94,612,100,80,1
25.010,1787167953.878,-58,-94,612,100,80,1
26.010,1787167954.880,-58,-94,612,100,80,1
27.010,1787167955.879,-58,-94,612,100,80,1
28.010,1787167956.879,-58,-94,612,100,80,1
29.010,1787167957.879,-58,-94,612,100,80,1
30.010,1787167958.878,-58,-94,612,100,80,1
31.010,1787167959.878,-58,-94,612,100,80,1
32.006,1787167960.874,-59,-94,680,100,80,1
33.010,1787167961.879,-59,-94,680,100,80,1
34.007,1787167962.874,-58,-94,680,100,80,1
35.010,1787167963.877,-59,-94,680,100,80,1
36.010,1787167964.878,-59,-94,680,100,80,1
37.010,1787167965.878,-59,-94,720,100,80,1
38.008,1787167966.877,-59,-94,720,100,80,1
39.003,1787167967.872,-59,-94,720,100,80,1
40.010,1787167968.879,-59,-94,720,100,80,1
41.005,1787167969.872,-58,-94,720,100,80,1
42.010,1787167970.878,-59,-94,648,100,80,1
43.005,1787167971.873,-59,-94,648,100,80,1
44.009,1787167972.878,-58,-94,648,100,80,1
45.010,1787167973.878,-59,-94,648,100,80,1
46.008,1787167974.876,-59,-94,648,100,80,1
47.010,1787167975.879,-58,-94,648,100,80,1
48.008,1787167976.876,-59,-94,648,100,80,1
49.004,1787167977.872,-59,-94,648,100,80,1
50.000,1787167978.868,-59,-94,648,100,80,1
51.008,1787167979.877,-59,-94,648,100,80,1
52.005,1787167980.873,-59,-94,137,100,80,1
53.002,1787167981.872,-58,-94,137,100,80,1
54.010,1787167982.878,-58,-94,137,100,80,1
55.008,1787167983.876,-59,-94,137,100,80,1
56.007,1787167984.876,-59,-94,137,100,80,1
57.010,1787167985.879,-58,-94,648,100,80,1
58.010,1787167986.879,-58,-94,648,100,80,1
59.010,1787167987.880,-58,-94,648,100,80,1
60.004,1787167988.872,-58,-94,648,100,80,1
61.001,1787167989.869,-58,-94,648,100,80,1
62.010,1787167990.879,-58,-94,612,100,80,1
63.010,1787167991.879,-59,-94,612,100,80,1
64.005,1787167992.875,-58,-94,612,100,80,1
65.010,1787167993.878,-59,-94,612,100,80,1
66.004,1787167994.872,-59,-94,612,100,80,1
67.008,1787167995.876,-58,-94,612,100,80,1
68.010,1787167996.880,-58,-94,612,100,80,1
69.010,1787167997.879,-58,-94,612,100,80,1
