t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787164249.513,-60,-94,612,100,80,1
1.001,1787164250.514,-60,-94,612,100,80,1
2.005,1787164251.516,-60,-94,612,100,80,1
3.005,1787164252.516,-60,-94,612,100,80,1
4.003,1787164253.515,-60,-94,648,100,80,1
5.000,1787164254.514,-60,-94,648,100,80,1
6.005,1787164255.516,-60,-94,648,100,80,1
7.004,1787164256.515,-60,-94,648,100,80,1
8.003,1787164257.515,-60,-94,648,100,80,1
9.005,1787164258.516,-60,-94,648,100,80,1
10.000,1787164259.514,-60,-94,648,100,80,1
11.005,1787164260.517,-60,-94,648,100,80,1
12.004,1787164261.515,-60,-94,648,100,80,1
13.001,1787164262.516,-60,-94,648,100,80,1
14.000,1787164263.514,-60,-94,648,100,80,1
15.005,1787164264.516,-60,-94,648,100,80,1
16.005,1787164265.517,-61,-94,648,100,80,1
17.000,1787164266.515,-60,-94,648,100,80,1
18.005,1787164267.517,-60,-94,648,100,80,1
19.004,1787164268.516,-60,-94,576,100,80,1
20.005,1787164269.516,-60,-94,576,100,80,1
21.003,1787164270.514,-60,-94,576,100,80,1
22.005,1787164271.517,-60,-94,576,100,80,1
23.005,1787164272.517,-61,-94,576,100,80,1
24.004,1787164273.516,-62,-94,576,100,80,1
25.005,1787164274.517,-61,-94,576,100,80,1
26.002,1787164275.514,-61,-94,576,100,80,1
27.000,1787164276.514,-61,-94,576,100,80,1
28.003,1787164277.514,-60,-94,576,100,80,1
29.005,1787164278.516,-58,-94,576,100,80,1
30.000,1787164279.515,-59,-94,576,100,80,1
31.005,1787164280.517,-59,-94,576,100,80,1
32.005,1787164281.517,-59,-94,576,100,80,1
33.002,1787164282.513,-58,-94,576,100,80,1
34.005,1787164283.516,-58,-94,576,100,80,1
35.005,1787164284.516,-58,-94,576,100,80,1
36.005,1787164285.516,-60,-94,576,100,80,1
37.005,1787164286.517,-59,-94,576,100,80,1
38.005,1787164287.517,-64,-94,576,100,80,1
39.005,1787164288.516,-63,-94,432,100,80,1
40.005,1787164289.516,-64,-94,432,100,80,1
41.005,1787164290.516,-64,-94,432,100,80,1
42.002,1787164291.515,-62,-94,432,100,80,1
43.000,1787164292.512,-62,-94,432,100,80,1
44.004,1787164293.516,-63,-94,576,100,80,1
45.000,1787164294.514,-59,-94,576,100,80,1
46.000,1787164295.513,-60,-94,576,100,80,1
47.004,1787164296.515,-64,-94,576,100,80,1
48.000,1787164297.514,-64,-94,576,100,80,1
49.003,1787164298.514,-66,-94,408,100,80,1
50.005,1787164299.516,-64,-94,408,100,80,1
51.005,1787164300.516,-65,-94,408,100,80,1
52.000,1787164301.514,-62,-94,408,100,80,1
53.003,1787164302.515,-64,-94,408,100,80,1
54.003,1787164303.514,-63,-94,432,100,80,1
55.001,1787164304.514,-65,-94,432,100,80,1
56.003,1787164305.515,-64,-94,432,100,80,1
57.003,1787164306.514,-63,-94,432,100,80,1
58.001,1787164307.514,-66,-94,432,100,80,1
59.004,1787164308.516,-61,-94,544,100,80,1
60.001,1787164309.514,-59,-94,544,100,80,1
61.001,1787164310.514,-65,-94,544,100,80,1
62.003,1787164311.514,-63,-94,544,100,80,1
63.001,1787164312.512,-64,-94,544,100,80,1
64.000,1787164313.513,-62,-94,432,100,80,1
65.002,1787164314.513,-62,-94,432,100,80,1
66.005,1787164315.517,-62,-94,432,100,80,1
67.001,1787164316.514,-62,-94,432,100,80,1
68.004,1787164317.515,-62,-94,432,100,80,1
69.000,1787164318.513,-63,-94,576,100,80,1
70.000,1787164319.513,-63,-94,576,100,80,1
71.004,1787164320.515,-61,-94,576,100,80,1
72.005,1787164321.516,-60,-94,576,100,80,1
73.001,1787164322.512,-62,-94,576,100,80,1
74.000,1787164323.514,-61,-94,432,100,80,1
75.002,1787164324.515,-61,-94,432,100,80,1
76.003,1787164325.515,-61,-94,432,100,80,1
77.000,1787164326.514,-67,-94,432,100,80,1
78.003,1787164327.514,-65,-94,432,100,80,1
79.000,1787164328.513,-59,-94,432,100,80,1
80.005,1787164329.516,-61,-94,432,100,80,1
81.004,1787164330.515,-61,-94,432,100,80,1
82.003,1787164331.515,-61,-94,432,100,80,1
83.000,1787164332.514,-66,-94,432,100,80,1
84.003,1787164333.515,-66,-94,272,100,80,1
85.000,1787164334.514,-62,-94,272,100,80,1
86.003,1787164335.514,-60,-94,272,100,80,1
87.000,1787164336.512,-60,-94,272,100,80,1
88.000,1787164337.514,-58,-94,272,100,80,1
89.000,1787164338.513,-62,-94,576,100,80,1
90.000,1787164339.512,-60,-94,576,100,80,1
91.000,1787164340.514,-59,-94,576,100,80,1
92.005,1787164341.517,-62,-94,576,100,80,1
93.005,1787164342.517,-67,-94,576,100,80,1
94.000,1787164343.517,-65,-94,288,100,80,1
95.004,1787164344.516,-61,-94,288,100,80,1
96.005,1787164345.517,-61,-94,288,100,80,1
97.003,1787164346.514,-60,-94,288,100,80,1
98.003,1787164347.515,-62,-94,288,100,80,1
99.000,1787164348.514,-62,-94,288,100,80,1
100.004,1787164349.515,-61,-94,576,100,80,1
101.001,1787164350.513,-61,-94,576,100,80,1
102.003,1787164351.515,-61,-94,576,100,80,1
103.005,1787164352.517,-61,-94,576,100,80,1
104.002,1787164353.515,-62,-94,576,100,80,1
105.005,1787164354.517,-63,-94,576,100,80,1
106.005,1787164355.517,-63,-94,576,100,80,1
107.004,1787164356.516,-66,-94,576,100,80,1
108.005,1787164357.517,-66,-94,576,100,80,1
109.003,1787164358.516,-62,-94,576,100,80,1
110.005,1787164359.517,-63,-94,432,100,80,1
111.004,1787164360.516,-59,-94,432,100,80,1
112.000,1787164361.515,-60,-94,432,100,80,1
113.005,1787164362.517,-64,-94,432,100,80,1
114.002,1787164363.515,-65,-94,432,100,80,1
115.001,1787164364.514,-58,-94,288,100,80,1
116.005,1787164365.517,-64,-94,288,100,80,1
117.000,1787164366.515,-63,-94,288,100,80,1
118.004,1787164367.516,-62,-94,288,100,80,1
119.000,1787164368.515,-62,-94,288,100,80,1
120.005,1787164369.518,-62,-94,576,100,80,1
121.000,1787164370.512,-60,-94,576,100,80,1
122.005,1787164371.517,-63,-94,576,100,80,1
123.005,1787164372.517,-67,-94,576,100,80,1
124.005,1787164373.517,-62,-94,576,100,80,1
125.005,1787164374.518,-62,-94,288,100,80,1
126.002,1787164375.516,-66,-94,288,100,80,1
127.004,1787164376.517,-63,-94,288,100,80,1
128.004,1787164377.516,-63,-94,288,100,80,1
129.002,1787164378.514,-63,-94,288,100,80,1
130.001,1787164379.515,-62,-94,432,100,80,1
131.002,1787164380.516,-62,-94,432,100,80,1
132.002,1787164381.514,-64,-94,432,100,80,1
133.005,1787164382.517,-59,-94,432,100,80,1
134.005,1787164383.517,-64,-94,432,100,80,1
135.002,1787164384.514,-67,-94,432,100,80,1
136.005,1787164385.518,-67,-94,432,100,80,1
137.002,1787164386.514,-62,-94,432,100,80,1
138.003,1787164387.515,-64,-94,432,100,80,1
139.004,1787164388.516,-63,-94,432,100,80,1
140.002,1787164389.515,-63,-94,432,100,80,1
141.005,1787164390.517,-65,-94,432,100,80,1
142.005,1787164391.518,-65,-94,432,100,80,1
143.002,1787164392.515,-63,-94,432,100,80,1
144.005,1787164393.517,-59,-94,432,100,80,1
145.002,1787164394.514,-59,-94,432,100,80,1
146.002,1787164395.514,-60,-94,432,100,80,1
147.004,1787164396.516,-64,-94,432,100,80,1
148.000,1787164397.515,-59,-94,432,100,80,1
149.004,1787164398.516,-61,-94,432,100,80,1
150.001,1787164399.514,-59,-94,648,100,80,1
151.005,1787164400.517,-58,-94,648,100,80,1
152.002,1787164401.515,-59,-94,648,100,80,1
153.005,1787164402.517,-60,-94,648,100,80,1
154.001,1787164403.514,-59,-94,648,100,80,1
155.005,1787164404.518,-59,-94,612,100,80,1
156.005,1787164405.517,-59,-94,612,100,80,1
157.005,1787164406.517,-60,-94,612,100,80,1
158.001,1787164407.514,-59,-94,612,100,80,1
159.001,1787164408.513,-59,-94,612,100,80,1
160.005,1787164409.517,-59,-94,720,100,80,1
161.004,1787164410.516,-60,-94,720,100,80,1
162.005,1787164411.518,-60,-94,720,100,80,1
163.005,1787164412.517,-59,-94,720,100,80,1
164.002,1787164413.514,-59,-94,720,100,80,1
165.003,1787164414.515,-60,-94,648,100,80,1
166.005,1787164415.518,-59,-94,648,100,80,1
167.001,1787164416.515,-60,-94,648,100,80,1
