t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1786821146.191,-70,-95,544,36,80,0
1.104,1786821147.296,-71,-95,544,36,80,0
2.203,1786821148.395,-70,-95,544,36,80,0
3.303,1786821149.494,-70,-95,544,36,80,0
4.401,1786821150.593,-70,-95,576,36,80,0
5.504,1786821151.696,-70,-95,576,36,80,0
6.605,1786821152.797,-70,-95,576,36,80,0
7.701,1786821153.892,-70,-95,576,36,80,0
8.805,1786821154.997,-70,-95,576,36,80,0
9.904,1786821156.096,-70,-95,432,36,80,0
11.004,1786821157.196,-70,-95,432,36,80,0
12.104,1786821158.296,-70,-95,432,36,80,0
13.205,1786821159.396,-70,-95,432,36,80,0
14.305,1786821160.497,-71,-95,432,36,80,0
15.400,1786821161.592,-70,-95,432,36,80,0
16.504,1786821162.696,-70,-95,432,36,80,0
17.604,1786821163.796,-70,-95,432,36,80,0
18.701,1786821164.892,-70,-95,432,36,80,0
19.804,1786821165.996,-71,-95,432,36,80,0
20.904,1786821167.097,-70,-95,432,36,80,0
22.001,1786821168.193,-70,-95,432,36,80,0
23.104,1786821169.296,-70,-95,432,36,80,0
24.203,1786821170.396,-70,-95,408,36,80,0
25.304,1786821171.495,-70,-95,408,36,80,0
26.405,1786821172.597,-71,-95,408,36,80,0
27.505,1786821173.696,-73,-95,408,36,80,0
28.603,1786821174.796,-70,-95,408,36,80,0
29.704,1786821175.896,-71,-95,432,36,80,0
30.803,1786821176.995,-73,-95,432,36,80,0
31.902,1786821178.094,-69,-95,432,36,80,0
33.001,1786821179.193,-78,-95,432,36,80,0
34.105,1786821180.297,-75,-95,432,36,80,0
35.202,1786821181.393,-76,-95,288,36,80,0
36.303,1786821182.495,-76,-95,288,36,80,0
37.404,1786821183.596,-77,-95,288,36,80,0
38.505,1786821184.696,-76,-95,288,36,80,0
39.605,1786821185.796,-77,-95,360,36,80,0
40.704,1786821186.895,-75,-95,360,36,80,0
41.803,1786821187.994,-76,-95,360,36,80,0
42.904,1786821189.095,-76,-95,360,36,80,0
44.004,1786821190.195,-76,-95,360,36,80,0
45.104,1786821191.295,-76,-95,340,36,80,0
46.203,1786821192.394,-76,-95,340,36,80,0
47.304,1786821193.495,-75,-95,340,36,80,0
48.404,1786821194.595,-76,-95,340,36,80,0
49.504,1786821195.695,-76,-95,360,36,80,0
50.605,1786821196.796,-76,-95,360,36,80,0
51.705,1786821197.896,-76,-95,360,36,80,0
52.806,1786821199.016,-75,-95,360,36,80,0
53.904,1786821200.096,-76,-95,360,36,80,0
55.001,1786821201.192,-75,-95,432,36,80,0
56.105,1786821202.296,-78,-95,432,36,80,0
57.203,1786821203.395,-78,-95,432,36,80,0
58.301,1786821204.493,-76,-95,432,36,80,0
59.401,1786821205.592,-78,-95,408,36,80,0
60.504,1786821206.696,-78,-95,408,36,80,0
61.604,1786821207.795,-77,-95,408,36,80,0
62.703,1786821208.895,-77,-95,408,36,80,0
63.803,1786821209.995,-76,-95,408,36,80,0
64.902,1786821211.094,-75,-95,324,36,80,0
66.004,1786821212.195,-76,-95,324,36,80,0
67.103,1786821213.294,-76,-95,324,36,80,0
68.203,1786821214.395,-77,-95,324,36,80,0
69.305,1786821215.496,-77,-95,324,36,80,0
70.402,1786821216.594,-76,-95,324,36,80,0
71.504,1786821217.696,-76,-95,324,36,80,0
72.604,1786821218.795,-76,-95,324,36,80,0
73.701,1786821219.891,-76,-95,324,36,80,0
74.805,1786821220.996,-77,-95,360,36,80,0
75.902,1786821222.093,-76,-95,360,36,80,0
77.002,1786821223.193,-76,-95,360,36,80,0
78.105,1786821224.296,-75,-95,360,36,80,0
79.200,1786821225.391,-79,-95,360,36,80,0
80.304,1786821226.495,-78,-95,288,36,80,0
81.401,1786821227.592,-78,-95,288,36,80,0
82.503,1786821228.693,-79,-95,288,36,80,0
83.602,1786821229.793,-78,-95,288,36,80,0
84.704,1786821230.895,-78,-95,288,36,80,0
85.802,1786821231.997,-78,-95,288,36,80,0
86.905,1786821233.096,-78,-95,288,36,80,0
88.004,1786821234.194,-77,-95,288,36,80,0
89.102,1786821235.293,-77,-95,288,36,80,0
90.204,1786821236.395,-78,-95,288,36,80,0
91.303,1786821237.494,-78,-95,288,36,80,0
92.404,1786821238.595,-78,-95,288,36,80,0
93.502,1786821239.693,-78,-95,288,36,80,0
94.605,1786821240.796,-78,-95,288,36,80,0
95.705,1786821241.895,-78,-95,288,36,80,0
96.805,1786821242.996,-78,-95,288,36,80,0
97.902,1786821244.093,-78,-95,288,36,80,0
99.003,1786821245.194,-78,-95,288,36,80,0
100.103,1786821246.293,-78,-95,306,36,80,0
101.203,1786821247.394,-78,-95,306,36,80,0
102.305,1786821248.496,-78,-95,306,36,80,0
103.401,1786821249.592,-78,-95,306,36,80,0
104.501,1786821250.692,-78,-95,324,36,80,0
105.603,1786821251.795,-77,-95,324,36,80,0
106.705,1786821252.896,-77,-95,324,36,80,0
107.801,1786821253.991,-77,-95,324,36,80,0
108.902,1786821255.093,-77,-95,324,36,80,0
110.002,1786821256.193,-76,-95,360,36,80,0
111.102,1786821257.293,-76,-95,360,36,80,0
112.203,1786821258.393,-77,-95,360,36,80,0
113.301,1786821259.491,-76,-95,360,36,80,0
114.405,1786821260.595,-77,-95,324,36,80,0
115.503,1786821261.693,-77,-95,324,36,80,0
116.602,1786821262.793,-77,-95,324,36,80,0
117.705,1786821263.898,-77,-95,324,36,80,0
118.802,1786821264.993,-77,-95,324,36,80,0
119.900,1786821266.091,-77,-95,324,36,80,0
