t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787221692.830,-68,-94,576,36,80,0
1.001,1787221693.832,-68,-94,576,36,80,0
2.004,1787221694.834,-68,-94,648,36,80,0
3.003,1787221695.834,-68,-94,648,36,80,0
4.005,1787221696.835,-67,-94,648,36,80,0
5.002,1787221697.833,-68,-94,648,36,80,0
6.002,1787221698.833,-68,-94,648,36,80,0
7.002,1787221699.832,-68,-94,576,36,80,0
8.005,1787221700.835,-68,-94,576,36,80,0
9.005,1787221701.835,-71,-94,576,36,80,0
10.002,1787221702.833,-69,-94,576,36,80,0
11.005,1787221703.835,-69,-94,576,36,80,0
12.005,1787221704.835,-67,-94,432,36,80,0
13.003,1787221705.833,-70,-94,432,36,80,0
14.003,1787221706.834,-70,-94,432,36,80,0
15.001,1787221707.831,-69,-94,432,36,80,0
16.003,1787221708.834,-68,-94,432,36,80,0
17.003,1787221709.834,-68,-94,432,36,80,0
18.002,1787221710.833,-68,-94,432,36,80,0
19.004,1787221711.835,-69,-94,432,36,80,0
20.005,1787221712.835,-72,-94,432,36,80,0
21.002,1787221713.833,-70,-94,432,36,80,0
22.002,1787221714.833,-71,-94,432,36,80,0
23.005,1787221715.835,-70,-94,432,36,80,0
24.002,1787221716.833,-72,-94,432,36,80,0
25.005,1787221717.835,-70,-94,432,36,80,0
26.004,1787221718.835,-70,-94,432,36,80,0
27.002,1787221719.833,-70,-94,408,36,80,0
28.003,1787221720.834,-71,-94,408,36,80,0
29.005,1787221721.836,-69,-94,408,36,80,0
30.002,1787221722.833,-69,-94,408,36,80,0
31.002,1787221723.833,-69,-94,408,36,80,0
32.002,1787221724.833,-70,-94,612,36,80,0
33.002,1787221725.833,-68,-94,612,36,80,0
34.005,1787221726.836,-69,-94,612,36,80,0
35.003,1787221727.834,-69,-94,612,36,80,0
36.003,1787221728.834,-69,-94,612,36,80,0
37.005,1787221729.836,-70,-94,576,36,80,0
38.004,1787221730.834,-69,-94,576,36,80,0
39.000,1787221731.831,-70,-94,576,36,80,0
40.003,1787221732.834,-71,-94,576,36,80,0
41.002,1787221733.833,-70,-94,576,36,80,0
42.003,1787221734.834,-70,-94,432,36,80,0
43.001,1787221735.832,-69,-94,432,36,80,0
44.004,1787221736.835,-71,-94,432,36,80,0
45.002,1787221737.835,-68,-94,432,36,80,0
46.001,1787221738.832,-68,-94,432,36,80,0
47.002,1787221739.833,-69,-94,576,36,80,0
48.001,1787221740.831,-69,-94,576,36,80,0
49.001,1787221741.833,-69,-94,576,36,80,0
50.003,1787221742.834,-69,-94,576,36,80,0
51.004,1787221743.835,-68,-94,576,36,80,0
52.005,1787221744.840,-69,-94,576,36,80,0
53.004,1787221745.836,-70,-94,576,36,80,0
54.002,1787221746.835,-71,-94,576,36,80,0
55.001,1787221747.832,-70,-94,576,36,80,0
56.002,1787221748.834,-70,-94,576,36,80,0
57.002,1787221749.834,-70,-94,576,36,80,0
58.002,1787221750.834,-70,-94,576,36,80,0
59.002,1787221751.837,-69,-94,576,36,80,0
60.003,1787221752.844,-70,-94,576,36,80,0
61.003,1787221753.835,-70,-94,576,36,80,0
62.002,1787221754.834,-70,-94,137,36,80,0
63.001,1787221755.832,-69,-94,137,36,80,0
64.002,1787221756.837,-69,-94,137,36,80,0
65.001,1787221757.833,-69,-94,137,36,80,0
66.003,1787221758.835,-69,-94,137,36,80,0
67.000,1787221759.832,-70,-94,576,36,80,0
68.003,1787221760.835,-71,-94,576,36,80,0
69.002,1787221761.838,-69,-94,576,36,80,0
70.002,1787221762.834,-70,-94,576,36,80,0
71.002,1787221763.839,-71,-94,576,36,80,0
72.000,1787221764.835,-69,-94,576,36,80,0
73.004,1787221765.836,-69,-94,432,36,80,0
74.002,1787221766.834,-70,-94,432,36,80,0
75.000,1787221767.832,-71,-94,432,36,80,0
76.003,1787221768.834,-71,-94,432,36,80,0
77.002,1787221769.833,-72,-94,432,36,80,0
78.003,1787221770.834,-71,-94,432,36,80,0
79.003,1787221771.834,-69,-94,432,36,80,0
80.002,1787221772.833,-68,-94,432,36,80,0
81.002,1787221773.834,-68,-94,432,36,80,0
82.002,1787221774.834,-71,-94,432,36,80,0
83.002,1787221775.834,-70,-94,432,36,80,0
84.004,1787221776.835,-70,-94,432,36,80,0
85.000,1787221777.831,-69,-94,432,36,80,0
86.004,1787221778.835,-68,-94,432,36,80,0
87.000,1787221779.831,-69,-94,432,36,80,0
88.003,1787221780.834,-68,-94,648,36,80,0
89.002,1787221781.833,-67,-94,648,36,80,0
90.001,1787221782.832,-67,-94,648,36,80,0
91.003,1787221783.835,-68,-94,648,36,80,0
92.001,1787221784.833,-67,-94,648,36,80,0
93.003,1787221785.834,-69,-94,648,36,80,0
94.002,1787221786.833,-66,-94,648,36,80,0
95.005,1787221787.836,-71,-94,648,36,80,0
96.005,1787221788.836,-69,-94,648,36,80,0
97.002,1787221789.834,-70,-94,648,36,80,0
98.005,1787221790.836,-70,-94,432,36,80,0
99.000,1787221791.831,-70,-94,432,36,80,0
100.003,1787221792.834,-73,-94,432,36,80,0
101.005,1787221793.837,-71,-94,432,36,80,0
102.005,1787221794.836,-69,-94,432,36,80,0
103.005,1787221795.836,-71,-94,408,36,80,0
104.003,1787221796.834,-70,-94,408,36,80,0
105.004,1787221797.835,-69,-94,408,36,80,0
106.003,1787221798.835,-73,-94,408,36,80,0
107.003,1787221799.834,-71,-94,408,36,80,0
108.003,1787221800.834,-69,-94,432,36,80,0
109.002,1787221801.834,-69,-94,432,36,80,0
110.004,1787221802.836,-70,-94,432,36,80,0
111.002,1787221803.834,-70,-94,432,36,80,0
112.005,1787221804.837,-70,-94,432,36,80,0
113.003,1787221805.834,-70,-94,576,36,80,0
114.000,1787221806.832,-69,-94,576,36,80,0
115.003,1787221807.834,-68,-94,576,36,80,0
116.005,1787221808.836,-70,-94,576,36,80,0
117.005,1787221809.837,-68,-94,576,36,80,0
118.005,1787221810.837,-68,-94,648,36,80,0
119.002,1787221811.834,-69,-94,648,36,80,0
120.002,1787221812.834,-68,-94,648,36,80,0
121.005,1787221813.837,-69,-94,648,36,80,0
122.002,1787221814.834,-70,-94,648,36,80,0
123.005,1787221815.836,-71,-94,576,36,80,0
124.005,1787221816.836,-71,-94,576,36,80,0
125.002,1787221817.834,-71,-94,576,36,80,0
126.003,1787221818.834,-69,-94,576,36,80,0
127.002,1787221819.834,-71,-94,576,36,80,0
128.001,1787221820.832,-69,-94,544,36,80,0
129.003,1787221821.834,-69,-94,544,36,80,0
130.003,1787221822.833,-67,-94,544,36,80,0
131.002,1787221823.834,-69,-94,544,36,80,0
132.002,1787221824.834,-70,-94,544,36,80,0
133.003,1787221825.834,-69,-94,544,36,80,0
134.002,1787221826.834,-69,-94,544,36,80,0
135.005,1787221827.836,-70,-94,544,36,80,0
136.002,1787221828.834,-69,-94,544,36,80,0
137.004,1787221829.835,-68,-94,544,36,80,0
138.000,1787221830.832,-68,-94,576,36,80,0
139.005,1787221831.837,-68,-94,576,36,80,0
140.005,1787221832.837,-68,-94,576,36,80,0
141.005,1787221833.837,-67,-94,576,36,80,0
142.002,1787221834.834,-68,-94,576,36,80,0
143.002,1787221835.834,-68,-94,648,36,80,0
144.001,1787221836.832,-69,-94,648,36,80,0
145.002,1787221837.834,-69,-94,648,36,80,0
146.001,1787221838.833,-69,-94,648,36,80,0
147.002,1787221839.834,-69,-94,648,36,80,0
148.004,1787221840.836,-67,-94,576,36,80,0
149.005,1787221841.837,-67,-94,576,36,80,0
150.002,1787221842.838,-68,-94,576,36,80,0
151.003,1787221843.835,-67,-94,576,36,80,0
152.005,1787221844.837,-67,-94,576,36,80,0
153.005,1787221845.837,-67,-94,648,36,80,0
154.002,1787221846.834,-67,-94,648,36,80,0
155.002,1787221847.834,-67,-94,648,36,80,0
156.002,1787221848.834,-66,-94,648,36,80,0
157.005,1787221849.837,-68,-94,648,36,80,0
158.005,1787221850.837,-70,-94,648,36,80,0
159.002,1787221851.834,-68,-94,648,36,80,0
160.002,1787221852.834,-66,-94,648,36,80,0
161.000,1787221853.832,-70,-94,648,36,80,0
162.005,1787221854.837,-68,-94,648,36,80,0
163.005,1787221855.837,-67,-94,648,36,80,0
164.002,1787221856.834,-68,-94,648,36,80,0
165.005,1787221857.836,-67,-94,648,36,80,0
166.002,1787221858.834,-68,-94,648,36,80,0
167.002,1787221859.833,-68,-94,648,36,80,0
168.002,1787221860.834,-69,-94,576,36,80,0
169.005,1787221861.837,-69,-94,576,36,80,0
170.002,1787221862.833,-68,-94,576,36,80,0
171.002,1787221863.834,-69,-94,576,36,80,0
172.002,1787221864.834,-68,-94,576,36,80,0
173.002,1787221865.836,-69,-94,576,36,80,0
174.005,1787221866.837,-68,-94,576,36,80,0
175.001,1787221867.833,-68,-94,576,36,80,0
176.000,1787221868.832,-68,-94,576,36,80,0
177.002,1787221869.835,-69,-94,576,36,80,0
178.002,1787221870.833,-68,-94,648,36,80,0
179.002,1787221871.834,-68,-94,648,36,80,0
