t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787221521.406,-68,-94,576,36,80,0
1.004,1787221522.410,-69,-94,576,36,80,0
2.002,1787221523.409,-68,-94,576,36,80,0
3.004,1787221524.410,-68,-94,648,36,80,0
4.004,1787221525.410,-68,-94,648,36,80,0
5.005,1787221526.411,-69,-94,648,36,80,0
6.004,1787221527.410,-69,-94,648,36,80,0
7.003,1787221528.409,-68,-94,648,36,80,0
8.005,1787221529.412,-70,-94,432,36,80,0
9.004,1787221530.410,-68,-94,432,36,80,0
10.001,1787221531.407,-68,-94,432,36,80,0
11.001,1787221532.407,-69,-94,432,36,80,0
12.004,1787221533.410,-68,-94,432,36,80,0
13.005,1787221534.411,-68,-94,576,36,80,0
14.000,1787221535.407,-68,-94,576,36,80,0
15.003,1787221536.409,-67,-94,576,36,80,0
16.002,1787221537.409,-68,-94,576,36,80,0
17.005,1787221538.411,-68,-94,576,36,80,0
18.000,1787221539.407,-67,-94,576,36,80,0
19.004,1787221540.410,-69,-94,576,36,80,0
20.004,1787221541.411,-67,-94,576,36,80,0
21.005,1787221542.411,-69,-94,576,36,80,0
22.001,1787221543.407,-70,-94,576,36,80,0
23.002,1787221544.408,-69,-94,432,36,80,0
24.001,1787221545.408,-69,-94,432,36,80,0
25.004,1787221546.411,-70,-94,432,36,80,0
26.004,1787221547.410,-70,-94,432,36,80,0
27.004,1787221548.410,-69,-94,432,36,80,0
28.001,1787221549.407,-70,-94,576,36,80,0
29.003,1787221550.409,-70,-94,576,36,80,0
30.005,1787221551.411,-71,-94,576,36,80,0
31.003,1787221552.410,-70,-94,576,36,80,0
32.004,1787221553.411,-71,-94,576,36,80,0
33.004,1787221554.411,-70,-94,432,36,80,0
34.004,1787221555.410,-69,-94,432,36,80,0
35.004,1787221556.411,-70,-94,432,36,80,0
36.003,1787221557.410,-69,-94,432,36,80,0
37.005,1787221558.411,-69,-94,432,36,80,0
38.002,1787221559.408,-69,-94,432,36,80,0
39.002,1787221560.408,-71,-94,432,36,80,0
40.004,1787221561.410,-68,-94,432,36,80,0
41.004,1787221562.410,-71,-94,432,36,80,0
42.004,1787221563.411,-68,-94,432,36,80,0
43.003,1787221564.409,-68,-94,612,36,80,0
44.004,1787221565.411,-69,-94,612,36,80,0
45.005,1787221566.411,-69,-94,612,36,80,0
46.005,1787221567.412,-69,-94,612,36,80,0
47.005,1787221568.412,-68,-94,612,36,80,0
48.003,1787221569.410,-69,-94,576,36,80,0
49.004,1787221570.410,-68,-94,576,36,80,0
50.005,1787221571.412,-68,-94,576,36,80,0
51.002,1787221572.409,-68,-94,576,36,80,0
52.002,1787221573.409,-69,-94,576,36,80,0
53.004,1787221574.411,-70,-94,137,36,80,0
54.004,1787221575.410,-69,-94,137,36,80,0
55.001,1787221576.407,-69,-94,137,36,80,0
56.002,1787221577.408,-69,-94,137,36,80,0
57.004,1787221578.411,-68,-94,137,36,80,0
58.003,1787221579.411,-68,-94,576,36,80,0
59.004,1787221580.411,-68,-94,576,36,80,0
60.003,1787221581.410,-68,-94,576,36,80,0
61.001,1787221582.407,-68,-94,576,36,80,0
62.003,1787221583.411,-68,-94,576,36,80,0
63.003,1787221584.409,-68,-94,576,36,80,0
64.003,1787221585.410,-70,-94,576,36,80,0
65.004,1787221586.411,-69,-94,576,36,80,0
66.000,1787221587.407,-70,-94,576,36,80,0
67.004,1787221588.411,-70,-94,576,36,80,0
68.004,1787221589.411,-70,-94,576,36,80,0
69.002,1787221590.408,-69,-94,576,36,80,0
70.003,1787221591.410,-68,-94,576,36,80,0
71.005,1787221592.412,-70,-94,576,36,80,0
72.002,1787221593.409,-70,-94,576,36,80,0
73.003,1787221594.410,-70,-94,432,36,80,0
74.004,1787221595.411,-72,-94,432,36,80,0
75.001,1787221596.408,-71,-94,432,36,80,0
76.003,1787221597.410,-69,-94,432,36,80,0
77.001,1787221598.408,-69,-94,432,36,80,0
78.004,1787221599.411,-67,-94,576,36,80,0
79.005,1787221600.412,-70,-94,576,36,80,0
80.005,1787221601.412,-68,-94,576,36,80,0
81.001,1787221602.408,-66,-94,576,36,80,0
82.002,1787221603.409,-67,-94,576,36,80,0
83.002,1787221604.409,-69,-94,576,36,80,0
84.004,1787221605.411,-68,-94,576,36,80,0
85.000,1787221606.407,-68,-94,576,36,80,0
86.002,1787221607.409,-69,-94,576,36,80,0
87.001,1787221608.408,-69,-94,576,36,80,0
88.002,1787221609.409,-69,-94,648,36,80,0
89.004,1787221610.411,-68,-94,648,36,80,0
90.002,1787221611.409,-67,-94,648,36,80,0
91.003,1787221612.410,-68,-94,648,36,80,0
92.001,1787221613.408,-68,-94,648,36,80,0
93.001,1787221614.408,-68,-94,648,36,80,0
94.000,1787221615.407,-68,-94,648,36,80,0
95.005,1787221616.412,-68,-94,648,36,80,0
96.005,1787221617.412,-67,-94,648,36,80,0
97.005,1787221618.412,-70,-94,648,36,80,0
98.003,1787221619.411,-68,-94,648,36,80,0
99.001,1787221620.408,-68,-94,576,36,80,0
100.002,1787221621.409,-69,-94,576,36,80,0
101.003,1787221622.411,-68,-94,576,36,80,0
102.004,1787221623.411,-68,-94,576,36,80,0
103.005,1787221624.412,-69,-94,576,36,80,0
104.002,1787221625.409,-69,-94,648,36,80,0
105.004,1787221626.412,-69,-94,648,36,80,0
106.001,1787221627.408,-70,-94,648,36,80,0
107.001,1787221628.408,-71,-94,648,36,80,0
108.003,1787221629.410,-71,-94,648,36,80,0
109.003,1787221630.410,-71,-94,432,36,80,0
110.004,1787221631.412,-70,-94,432,36,80,0
111.000,1787221632.407,-70,-94,432,36,80,0
112.000,1787221633.408,-70,-94,432,36,80,0
113.002,1787221634.410,-70,-94,432,36,80,0
114.004,1787221635.412,-71,-94,544,36,80,0
115.003,1787221636.410,-71,-94,544,36,80,0
116.005,1787221637.412,-69,-94,544,36,80,0
117.004,1787221638.411,-70,-94,544,36,80,0
118.003,1787221639.410,-68,-94,544,36,80,0
119.002,1787221640.409,-68,-94,648,36,80,0
