t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787221391.167,-68,-94,576,36,80,0
1.005,1787221392.173,-71,-94,576,36,80,0
2.003,1787221393.171,-70,-94,576,36,80,0
3.003,1787221394.172,-69,-94,576,36,80,0
4.005,1787221395.173,-67,-94,576,36,80,0
5.005,1787221396.173,-69,-94,576,36,80,0
6.003,1787221397.172,-67,-94,576,36,80,0
7.005,1787221398.173,-68,-94,576,36,80,0
8.002,1787221399.170,-69,-94,612,36,80,0
9.000,1787221400.167,-68,-94,612,36,80,0
10.005,1787221401.172,-68,-94,612,36,80,0
11.004,1787221402.171,-70,-94,612,36,80,0
12.005,1787221403.172,-68,-94,612,36,80,0
13.003,1787221404.170,-69,-94,648,36,80,0
14.002,1787221405.169,-68,-94,648,36,80,0
15.005,1787221406.172,-70,-94,648,36,80,0
16.000,1787221407.167,-70,-94,648,36,80,0
17.005,1787221408.171,-70,-94,648,36,80,0
18.005,1787221409.172,-69,-94,432,36,80,0
19.001,1787221410.167,-68,-94,432,36,80,0
20.000,1787221411.167,-71,-94,432,36,80,0
21.007,1787221412.187,-71,-94,432,36,80,0
22.004,1787221413.176,-69,-94,432,36,80,0
23.003,1787221414.170,-69,-94,432,36,80,0
24.001,1787221415.168,-69,-94,432,36,80,0
25.002,1787221416.172,-69,-94,432,36,80,0
26.001,1787221417.169,-69,-94,432,36,80,0
27.002,1787221418.171,-69,-94,432,36,80,0
28.005,1787221419.171,-68,-94,576,36,80,0
29.002,1787221420.168,-68,-94,576,36,80,0
30.005,1787221421.175,-67,-94,576,36,80,0
31.003,1787221422.172,-67,-94,576,36,80,0
32.004,1787221423.173,-68,-94,576,36,80,0
33.003,1787221424.176,-69,-94,154,36,80,0
34.004,1787221425.173,-69,-94,154,36,80,0
35.003,1787221426.170,-69,-94,154,36,80,0
36.006,1787221427.187,-70,-94,154,36,80,0
37.002,1787221428.168,-67,-94,154,36,80,0
38.001,1787221429.167,-67,-94,648,36,80,0
39.002,1787221430.168,-68,-94,648,36,80,0
40.000,1787221431.167,-68,-94,648,36,80,0
41.000,1787221432.166,-66,-94,648,36,80,0
42.003,1787221433.169,-69,-94,648,36,80,0
43.000,1787221434.166,-68,-94,648,36,80,0
44.005,1787221435.170,-70,-94,648,36,80,0
45.005,1787221436.170,-68,-94,648,36,80,0
46.005,1787221437.171,-67,-94,648,36,80,0
47.005,1787221438.170,-69,-94,648,36,80,0
