arm,pass,target_ms,verdict,sender_verdict,rtp_received,rtp_expected,rtp_lost,rtp_late,rtp_off_grid,plc_frames,frames_played,render_callbacks,render_underruns,jitter_underruns,jitter_overruns,jitter_occupancy_p50_ms,jitter_occupancy_p95_ms,samples_expected,samples_played,continuity_hole,arrival_delay_p50_ms,arrival_delay_p95_ms,arrival_delay_p99_ms,arrival_delay_max_ms,jitter_overrun_frames,samples_discarded,pair_frame_samples,rssi_mean_dbm,rssi_min_dbm,rssi_p10_dbm,rssi_p50_dbm,rssi_p90_dbm,rate_mean_mbps,rate_min_mbps,rate_p10_mbps,rate_p50_mbps,rate_p90_mbps,radio_rows,radio_channels,radio_widths,radar_bands,occupancy_start_ms,occupancy_end_ms,occupancy_travel_ms,occupancy_slope_ms_per_window
control,0,20,1,0,24005,24005,0,4878,0,4878,19122,22492,0,4878,0,20,25,5760000,4589280,1170720,-21.582,289.253,369.152,983.484,0,1170720,240,-43.98,-49,-48,-47,-39,1200.0,1200,1200,1200,1200,120,1,1,0,20.0,20.0,0.0,0.00
t5-p1,1,5,1,0,24003,24003,0,501,0,501,23499,22493,0,501,0,5,10,5760000,5639760,120240,-8.452,-5.573,12.385,78.227,0,120240,240,-39.53,-40,-40,-40,-39,1177.0,648,1200,1200,1200,120,1,1,0,5.0,5.0,0.0,0.00
t10-p1,1,10,1,0,24005,24005,0,544,0,544,23456,22492,0,544,0,10,15,5760000,5629440,130560,-11.872,-8.89,11.164,61.309,0,130560,240,-39.92,-40,-40,-40,-40,1161.9,286,1200,1200,1200,120,1,1,0,10.0,10.0,0.0,0.00
t15-p1,1,15,1,0,24005,24005,0,523,0,523,23477,22492,0,523,0,15,20,5760000,5634480,125520,-16.865,-12.614,9.354,75.904,0,125520,240,-39.84,-41,-40,-40,-39,1200.0,1200,1200,1200,1200,120,1,1,0,15.0,15.0,0.0,0.00
t20-p1,1,20,1,0,24007,24007,0,283,0,283,23717,22493,0,283,0,20,25,5760000,5692080,67920,-21.899,-18.725,1.958,220.98,0,67920,240,-39.79,-41,-40,-40,-39,1123.8,286,1200,1200,1200,120,1,1,0,20.0,20.0,0.0,0.00
t20-p2,2,20,1,0,24007,24007,0,1714,0,1714,22286,22493,0,1714,0,20,25,5760000,5348640,411360,-21.941,14.709,54.864,90.885,0,411360,240,-39.76,-41,-40,-40,-39,1200.0,1200,1200,1200,1200,120,1,1,0,15.0,20.0,5.0,0.47
t15-p2,2,15,1,0,24005,24005,0,201,0,201,23799,22492,0,201,0,15,20,5760000,5711760,48240,-18.221,-15.435,-2.301,18.859,0,48240,240,-40.05,-43,-40,-40,-40,1200.0,1200,1200,1200,1200,120,1,1,0,15.0,15.0,0.0,0.00
t10-p2,2,10,1,0,24005,24005,0,1786,0,1786,22214,22492,0,1786,0,10,15,5760000,5331360,428640,-11.893,22.568,63.521,78.975,0,428640,240,-42.95,-43,-43,-43,-43,1161.9,286,1200,1200,1200,120,1,1,0,10.0,10.0,0.0,0.00
t5-p2,2,5,1,0,24003,24003,0,47,0,47,23953,22492,0,47,0,5,10,5760000,5748720,11280,-7.636,-4.831,-3.894,23.571,0,11280,240,-42.97,-43,-43,-43,-43,1200.0,1200,1200,1200,1200,120,1,1,0,5.0,5.0,0.0,0.00
t15-p3,3,15,1,0,24005,24005,0,62,0,62,23938,22492,0,62,0,15,20,5760000,5745120,14880,-17.59,-14.843,-13.036,89.203,0,14880,240,-42.96,-43,-43,-43,-43,1200.0,1200,1200,1200,1200,120,1,1,0,15.0,15.0,0.0,0.00
