t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787176451.727,-47,-94,1200,36,80,0
1.000,1787176452.729,-48,-94,1200,36,80,0
2.003,1787176453.731,-47,-94,1200,36,80,0
3.004,1787176454.732,-47,-94,1200,36,80,0
4.004,1787176455.733,-48,-94,1200,36,80,0
5.000,1787176456.729,-48,-94,1200,36,80,0
6.005,1787176457.733,-48,-94,1200,36,80,0
7.005,1787176458.734,-48,-94,1200,36,80,0
8.003,1787176459.731,-48,-94,1200,36,80,0
9.001,1787176460.730,-47,-94,1200,36,80,0
10.004,1787176461.732,-48,-94,1200,36,80,0
11.005,1787176462.733,-48,-94,1200,36,80,0
12.003,1787176463.731,-48,-94,1200,36,80,0
13.001,1787176464.730,-48,-94,1200,36,80,0
14.005,1787176465.734,-48,-94,1200,36,80,0
15.001,1787176466.729,-49,-94,1200,36,80,0
16.001,1787176467.729,-48,-94,1200,36,80,0
17.003,1787176468.731,-49,-94,1200,36,80,0
18.005,1787176469.733,-48,-94,1200,36,80,0
19.005,1787176470.733,-48,-94,1200,36,80,0
20.003,1787176471.731,-48,-94,1200,36,80,0
21.003,1787176472.732,-48,-94,1200,36,80,0
22.004,1787176473.733,-48,-94,1200,36,80,0
23.004,1787176474.733,-48,-94,1200,36,80,0
24.003,1787176475.731,-47,-94,1200,36,80,0
25.005,1787176476.734,-48,-94,1200,36,80,0
26.004,1787176477.732,-47,-94,1200,36,80,0
27.003,1787176478.731,-48,-94,1200,36,80,0
28.002,1787176479.731,-48,-94,1200,36,80,0
29.004,1787176480.733,-48,-94,1200,36,80,0
30.004,1787176481.732,-48,-94,1200,36,80,0
31.005,1787176482.734,-48,-94,1200,36,80,0
32.004,1787176483.732,-48,-94,1200,36,80,0
33.005,1787176484.734,-48,-94,1200,36,80,0
34.003,1787176485.731,-48,-94,1200,36,80,0
35.000,1787176486.729,-48,-94,1200,36,80,0
36.003,1787176487.732,-48,-94,1200,36,80,0
37.005,1787176488.734,-48,-94,1200,36,80,0
38.005,1787176489.734,-47,-94,1200,36,80,0
39.001,1787176490.730,-48,-94,1200,36,80,0
40.003,1787176491.731,-48,-94,1200,36,80,0
41.001,1787176492.729,-48,-94,1200,36,80,0
42.005,1787176493.733,-48,-94,1200,36,80,0
43.003,1787176494.732,-47,-94,1200,36,80,0
44.000,1787176495.729,-48,-94,1200,36,80,0
45.003,1787176496.731,-48,-94,1200,36,80,0
46.003,1787176497.731,-48,-94,1200,36,80,0
