t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787177832.249,-43,-94,1200,36,80,0
1.007,1787177833.257,-43,-94,1200,36,80,0
2.008,1787177834.259,-43,-94,1200,36,80,0
3.001,1787177835.250,-43,-94,1200,36,80,0
4.008,1787177836.258,-43,-94,1200,36,80,0
5.000,1787177837.250,-43,-94,1200,36,80,0
6.010,1787177838.260,-43,-94,1200,36,80,0
7.007,1787177839.257,-43,-94,1200,36,80,0
8.010,1787177840.260,-43,-94,1200,36,80,0
9.004,1787177841.254,-43,-94,1200,36,80,0
10.004,1787177842.253,-43,-94,1200,36,80,0
11.000,1787177843.250,-43,-94,1200,36,80,0
12.008,1787177844.258,-42,-94,1200,36,80,0
13.006,1787177845.255,-43,-94,1200,36,80,0
14.003,1787177846.252,-43,-94,1200,36,80,0
15.000,1787177847.250,-43,-94,1200,36,80,0
16.004,1787177848.254,-43,-94,1200,36,80,0
17.006,1787177849.255,-43,-94,1200,36,80,0
18.008,1787177850.258,-43,-94,1200,36,80,0
19.004,1787177851.254,-43,-94,1200,36,80,0
20.006,1787177852.256,-43,-94,1200,36,80,0
21.000,1787177853.250,-43,-94,1200,36,80,0
22.005,1787177854.254,-43,-94,1200,36,80,0
23.000,1787177855.250,-43,-94,1200,36,80,0
24.008,1787177856.258,-43,-94,1200,36,80,0
25.010,1787177857.260,-43,-94,1200,36,80,0
26.006,1787177858.257,-43,-94,1200,36,80,0
27.010,1787177859.260,-43,-94,1200,36,80,0
28.004,1787177860.254,-43,-94,1200,36,80,0
29.005,1787177861.255,-43,-94,1200,36,80,0
30.010,1787177862.260,-43,-94,1200,36,80,0
31.006,1787177863.258,-43,-94,1200,36,80,0
32.009,1787177864.258,-43,-94,1200,36,80,0
33.010,1787177865.263,-43,-94,1200,36,80,0
34.008,1787177866.258,-43,-94,1200,36,80,0
35.003,1787177867.252,-43,-94,1200,36,80,0
36.007,1787177868.257,-43,-94,1200,36,80,0
37.010,1787177869.259,-43,-94,1200,36,80,0
38.004,1787177870.255,-42,-94,1200,36,80,0
39.010,1787177871.260,-43,-94,1200,36,80,0
40.010,1787177872.260,-43,-94,1200,36,80,0
41.000,1787177873.250,-43,-94,1200,36,80,0
42.010,1787177874.260,-43,-94,1200,36,80,0
43.000,1787177875.250,-43,-94,1200,36,80,0
44.010,1787177876.260,-43,-94,1200,36,80,0
45.000,1787177877.250,-43,-94,1200,36,80,0
46.003,1787177878.253,-43,-94,1200,36,80,0
47.002,1787177879.252,-43,-94,1200,36,80,0
48.004,1787177880.254,-43,-94,1200,36,80,0
49.005,1787177881.254,-43,-94,1200,36,80,0
50.002,1787177882.252,-43,-94,1200,36,80,0
51.005,1787177883.255,-42,-94,1200,36,80,0
52.006,1787177884.256,-43,-94,1200,36,80,0
53.000,1787177885.249,-43,-94,1200,36,80,0
54.010,1787177886.260,-43,-94,1200,36,80,0
55.004,1787177887.254,-43,-94,1200,36,80,0
56.010,1787177888.259,-43,-94,1200,36,80,0
57.004,1787177889.253,-43,-94,1200,36,80,0
58.004,1787177890.254,-43,-94,1200,36,80,0
59.004,1787177891.254,-43,-94,1200,36,80,0
60.004,1787177892.254,-43,-94,1200,36,80,0
61.010,1787177893.259,-43,-94,1200,36,80,0
62.010,1787177894.260,-43,-94,1200,36,80,0
63.000,1787177895.250,-43,-94,1200,36,80,0
64.009,1787177896.258,-43,-94,1200,36,80,0
65.010,1787177897.260,-43,-94,1200,36,80,0
66.010,1787177898.260,-43,-94,1200,36,80,0
67.006,1787177899.256,-43,-94,1200,36,80,0
68.007,1787177900.257,-43,-94,1200,36,80,0
69.004,1787177901.254,-43,-94,1200,36,80,0
70.004,1787177902.254,-43,-94,1200,36,80,0
71.000,1787177903.250,-43,-94,1200,36,80,0
72.010,1787177904.259,-43,-94,1200,36,80,0
73.010,1787177905.260,-43,-94,1200,36,80,0
74.003,1787177906.253,-43,-94,1200,36,80,0
75.010,1787177907.260,-43,-94,1200,36,80,0
76.004,1787177908.253,-43,-94,1200,36,80,0
77.004,1787177909.253,-43,-94,1200,36,80,0
78.006,1787177910.256,-43,-94,1200,36,80,0
79.004,1787177911.253,-43,-94,1200,36,80,0
80.003,1787177912.252,-43,-94,1200,36,80,0
81.005,1787177913.256,-43,-94,1200,36,80,0
82.003,1787177914.252,-43,-94,1200,36,80,0
83.004,1787177915.254,-43,-94,1200,36,80,0
84.000,1787177916.250,-43,-94,1200,36,80,0
85.004,1787177917.254,-43,-94,1200,36,80,0
86.004,1787177918.253,-43,-94,1200,36,80,0
87.003,1787177919.253,-43,-94,1200,36,80,0
88.005,1787177920.255,-43,-94,1200,36,80,0
89.005,1787177921.255,-43,-94,1200,36,80,0
90.004,1787177922.253,-43,-94,1200,36,80,0
91.001,1787177923.250,-43,-94,1200,36,80,0
92.002,1787177924.252,-43,-94,1200,36,80,0
93.010,1787177925.259,-43,-94,1200,36,80,0
94.003,1787177926.252,-43,-94,1200,36,80,0
95.002,1787177927.252,-43,-94,1200,36,80,0
96.003,1787177928.252,-43,-94,1200,36,80,0
97.003,1787177929.255,-43,-94,1200,36,80,0
98.001,1787177930.251,-43,-94,1200,36,80,0
99.005,1787177931.255,-43,-94,1200,36,80,0
100.000,1787177932.250,-43,-94,1200,36,80,0
101.004,1787177933.254,-43,-94,1200,36,80,0
102.009,1787177934.259,-43,-94,1200,36,80,0
103.005,1787177935.255,-43,-94,1200,36,80,0
104.004,1787177936.254,-43,-94,1200,36,80,0
105.005,1787177937.255,-43,-94,1200,36,80,0
106.010,1787177938.259,-42,-94,1200,36,80,0
107.005,1787177939.254,-43,-94,1200,36,80,0
108.005,1787177940.255,-43,-94,1200,36,80,0
109.004,1787177941.255,-43,-94,1200,36,80,0
110.004,1787177942.253,-43,-94,1200,36,80,0
111.004,1787177943.254,-43,-94,1200,36,80,0
112.010,1787177944.260,-43,-94,1200,36,80,0
113.005,1787177945.255,-43,-94,1200,36,80,0
114.004,1787177946.254,-43,-94,1200,36,80,0
115.005,1787177947.255,-43,-94,1200,36,80,0
116.008,1787177948.258,-43,-94,1200,36,80,0
117.002,1787177949.251,-43,-94,1200,36,80,0
118.007,1787177950.257,-43,-94,1200,36,80,0
119.005,1787177951.255,-43,-94,1200,36,80,0
