arm,pass,target_ms,verdict,sender_verdict,rtp_received,rtp_expected,rtp_lost,rtp_late,rtp_off_grid,plc_frames,frames_played,render_callbacks,render_underruns,jitter_underruns,jitter_overruns,jitter_occupancy_p50_ms,jitter_occupancy_p95_ms,samples_expected,samples_played,continuity_hole,arrival_delay_p50_ms,arrival_delay_p95_ms,arrival_delay_p99_ms,arrival_delay_max_ms,rssi_mean_dbm,rssi_min_dbm,rssi_max_dbm,rate_mean_mbps,radio_rows
control,0,20,1,0,24005,24005,0,9285,0,9285,14715,22492,0,9285,0,10,25,5760000,3531600,2228400,-14.525,289.798,369.742,433.317,-68.73,-72,-66,370.9,120
t5-p1,1,5,1,0,23997,23997,0,8841,0,8849,15151,22492,0,8849,1,0,5,5761200,3636240,2124960,-28.047,18.783,27.782,50.852,-69.18,-71,-67,385.9,120
t10-p1,1,10,1,0,24005,24005,0,8966,0,8966,15034,22492,0,8966,0,10,15,5760000,3608160,2151840,-10.173,39.06,45.71,69.824,-67.82,-70,-66,341.7,120
t15-p1,1,15,1,0,24005,24005,0,7721,0,7721,16279,22493,0,7721,0,10,20,5760000,3906960,1853040,-14.919,34.031,40.834,48.898,-68.86,-71,-67,362.3,120
t20-p1,1,20,1,0,24007,24007,0,5172,0,5172,18828,22492,0,5172,0,20,25,5760000,4518720,1241280,-20.499,25.868,34.812,45.271,-67.66,-71,-65,327.6,120
t20-p2,2,20,1,0,24007,24007,0,314,0,314,23686,22493,0,314,0,20,25,5760000,5684640,75360,-22.212,-18.273,3.029,37.77,-68.39,-71,-66,444.2,120
t15-p2,2,15,1,0,24005,24005,0,271,0,271,23729,22493,0,271,0,15,20,5760000,5694960,65040,-17.015,-13.294,1.307,17.262,-68.58,-70,-66,470.3,120
t10-p2,2,10,1,0,24003,24003,0,493,0,493,23507,22492,0,493,0,10,15,5760000,5641680,118320,-11.479,-7.505,9.978,62.843,-67.97,-71,-65,484.5,120
t5-p2,2,5,1,0,24003,24003,0,615,0,615,23385,22493,0,615,0,5,10,5760000,5612400,147600,-6.9,-3.677,13.77,87.104,-68.06,-71,-66,468.4,120
t15-p3,3,15,1,0,24005,24005,0,316,0,316,23684,22492,0,316,0,15,20,5760000,5684160,75840,-17.424,-14.273,2.936,41.176,-67.28,-69,-65,439.3,120
t20-p3,3,20,1,0,24005,24005,0,182,0,182,23818,22492,0,182,0,20,25,5760000,5716320,43680,-22.85,-19.786,-2.358,23.058,-66.96,-71,-65,489.3,120
t5-p3,3,5,1,0,24003,24003,0,571,0,571,23429,22492,0,571,0,5,10,5760000,5622960,137040,-7.251,-4.02,13.704,42.617,-67.08,-69,-66,514.0,120
t10-p3,3,10,1,0,24005,24005,0,420,0,420,23580,22492,0,420,0,10,15,5760000,5659200,100800,-12.747,-9.675,7.321,51.495,-67.27,-69,-65,554.0,120
