t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1786824817.236,-69,-94,567,36,80,0
1.003,1786824818.239,-69,-94,567,36,80,0
2.002,1786824819.239,-69,-94,567,36,80,0
3.000,1786824820.237,-70,-94,567,36,80,0
4.001,1786824821.238,-68,-94,576,36,80,0
5.002,1786824822.238,-68,-94,576,36,80,0
6.005,1786824823.242,-68,-94,576,36,80,0
7.005,1786824824.241,-67,-94,576,36,80,0
8.000,1786824825.237,-68,-94,576,36,80,0
9.002,1786824826.238,-68,-94,432,36,80,0
10.005,1786824827.241,-68,-94,432,36,80,0
11.002,1786824828.238,-68,-94,432,36,80,0
12.004,1786824829.241,-68,-94,432,36,80,0
13.001,1786824830.238,-67,-94,432,36,80,0
14.005,1786824831.241,-67,-94,432,36,80,0
15.003,1786824832.239,-67,-94,432,36,80,0
16.001,1786824833.238,-66,-94,432,36,80,0
17.005,1786824834.242,-66,-94,432,36,80,0
18.002,1786824835.238,-66,-94,432,36,80,0
19.004,1786824836.241,-66,-94,288,36,80,0
20.005,1786824837.242,-67,-94,288,36,80,0
21.002,1786824838.238,-67,-94,288,36,80,0
22.001,1786824839.238,-67,-94,288,36,80,0
23.002,1786824840.240,-67,-94,288,36,80,0
24.005,1786824841.242,-67,-94,432,36,80,0
25.001,1786824842.238,-67,-94,432,36,80,0
26.004,1786824843.241,-67,-94,432,36,80,0
27.001,1786824844.239,-67,-94,432,36,80,0
28.004,1786824845.241,-67,-94,432,36,80,0
29.003,1786824846.240,-66,-94,432,36,80,0
30.001,1786824847.238,-67,-94,432,36,80,0
31.003,1786824848.240,-68,-94,432,36,80,0
32.003,1786824849.241,-68,-94,432,36,80,0
33.001,1786824850.238,-69,-94,432,36,80,0
34.004,1786824851.242,-67,-94,432,36,80,0
35.003,1786824852.240,-71,-94,432,36,80,0
36.004,1786824853.242,-69,-94,432,36,80,0
37.005,1786824854.242,-68,-94,432,36,80,0
38.004,1786824855.241,-68,-94,432,36,80,0
39.002,1786824856.239,-71,-94,432,36,80,0
40.003,1786824857.241,-69,-94,324,36,80,0
41.004,1786824858.241,-70,-94,324,36,80,0
42.004,1786824859.242,-70,-94,324,36,80,0
43.004,1786824860.241,-68,-94,324,36,80,0
44.001,1786824861.239,-68,-94,324,36,80,0
45.001,1786824862.239,-67,-94,288,36,80,0
46.001,1786824863.239,-72,-94,288,36,80,0
47.001,1786824864.239,-69,-94,288,36,80,0
48.004,1786824865.241,-68,-94,288,36,80,0
49.004,1786824866.242,-69,-94,288,36,80,0
50.004,1786824867.241,-69,-94,576,36,80,0
51.001,1786824868.238,-70,-94,576,36,80,0
52.004,1786824869.241,-69,-94,576,36,80,0
53.002,1786824870.240,-68,-94,576,36,80,0
54.005,1786824871.242,-69,-94,576,36,80,0
55.001,1786824872.239,-68,-94,272,36,80,0
56.002,1786824873.240,-69,-94,272,36,80,0
57.003,1786824874.240,-71,-94,272,36,80,0
58.002,1786824875.240,-68,-94,272,36,80,0
59.001,1786824876.239,-69,-94,272,36,80,0
60.001,1786824877.239,-70,-94,204,36,80,0
61.003,1786824878.241,-69,-94,204,36,80,0
62.001,1786824879.239,-71,-94,204,36,80,0
63.004,1786824880.242,-72,-94,204,36,80,0
64.005,1786824881.242,-71,-94,204,36,80,0
65.003,1786824882.241,-70,-94,288,36,80,0
66.004,1786824883.242,-69,-94,288,36,80,0
67.002,1786824884.240,-68,-94,288,36,80,0
68.004,1786824885.242,-68,-94,288,36,80,0
69.002,1786824886.240,-69,-94,288,36,80,0
70.004,1786824887.242,-70,-94,432,36,80,0
71.003,1786824888.241,-69,-94,432,36,80,0
72.004,1786824889.242,-68,-94,432,36,80,0
73.002,1786824890.239,-71,-94,432,36,80,0
74.002,1786824891.240,-68,-94,432,36,80,0
75.001,1786824892.239,-68,-94,306,36,80,0
76.004,1786824893.242,-68,-94,306,36,80,0
77.003,1786824894.241,-70,-94,306,36,80,0
78.004,1786824895.242,-68,-94,306,36,80,0
79.001,1786824896.240,-69,-94,306,36,80,0
80.004,1786824897.242,-70,-94,216,36,80,0
81.003,1786824898.241,-71,-94,216,36,80,0
82.004,1786824899.242,-71,-94,216,36,80,0
83.003,1786824900.241,-71,-94,216,36,80,0
84.002,1786824901.240,-71,-94,216,36,80,0
85.001,1786824902.239,-71,-94,432,36,80,0
86.005,1786824903.242,-69,-94,432,36,80,0
87.001,1786824904.240,-70,-94,432,36,80,0
88.004,1786824905.242,-70,-94,432,36,80,0
89.005,1786824906.243,-70,-94,432,36,80,0
90.001,1786824907.240,-70,-94,432,36,80,0
91.001,1786824908.239,-68,-94,432,36,80,0
92.005,1786824909.243,-70,-94,432,36,80,0
93.001,1786824910.240,-70,-94,432,36,80,0
94.001,1786824911.239,-71,-94,432,36,80,0
95.005,1786824912.244,-71,-94,432,36,80,0
96.005,1786824913.243,-70,-94,432,36,80,0
97.001,1786824914.240,-68,-94,432,36,80,0
98.005,1786824915.244,-69,-94,432,36,80,0
99.005,1786824916.243,-68,-94,432,36,80,0
100.004,1786824917.242,-68,-94,432,36,80,0
101.004,1786824918.243,-68,-94,432,36,80,0
102.004,1786824919.242,-68,-94,432,36,80,0
103.004,1786824920.243,-68,-94,432,36,80,0
104.004,1786824921.243,-68,-94,432,36,80,0
105.001,1786824922.240,-68,-94,216,36,80,0
106.001,1786824923.239,-69,-94,216,36,80,0
107.002,1786824924.241,-68,-94,216,36,80,0
108.004,1786824925.243,-69,-94,216,36,80,0
109.000,1786824926.239,-69,-94,216,36,80,0
110.005,1786824927.243,-69,-94,272,36,80,0
111.003,1786824928.242,-69,-94,272,36,80,0
112.000,1786824929.239,-70,-94,272,36,80,0
113.001,1786824930.240,-68,-94,272,36,80,0
114.005,1786824931.244,-70,-94,272,36,80,0
115.005,1786824932.243,-69,-94,216,36,80,0
116.005,1786824933.244,-69,-94,216,36,80,0
117.004,1786824934.242,-69,-94,216,36,80,0
118.005,1786824935.244,-70,-94,216,36,80,0
119.003,1786824936.242,-69,-94,216,36,80,0
