t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1786826035.310,-68,-94,324,36,80,0
1.002,1786826036.313,-68,-94,324,36,80,0
2.004,1786826037.315,-70,-94,324,36,80,0
3.005,1786826038.315,-68,-94,324,36,80,0
4.001,1786826039.311,-67,-94,324,36,80,0
5.005,1786826040.315,-67,-94,648,36,80,0
6.004,1786826041.315,-68,-94,648,36,80,0
7.001,1786826042.315,-68,-94,648,36,80,0
8.001,1786826043.311,-68,-94,648,36,80,0
9.001,1786826044.311,-68,-94,648,36,80,0
10.005,1786826045.315,-68,-94,432,36,80,0
11.001,1786826046.311,-68,-94,432,36,80,0
12.004,1786826047.314,-69,-94,432,36,80,0
13.003,1786826048.314,-68,-94,432,36,80,0
14.005,1786826049.316,-70,-94,432,36,80,0
15.002,1786826050.313,-70,-94,288,36,80,0
16.002,1786826051.312,-69,-94,288,36,80,0
17.003,1786826052.313,-69,-94,288,36,80,0
18.004,1786826053.317,-70,-94,288,36,80,0
19.005,1786826054.315,-69,-94,288,36,80,0
20.005,1786826055.316,-69,-94,288,36,80,0
21.003,1786826056.314,-69,-94,288,36,80,0
22.000,1786826057.311,-69,-94,288,36,80,0
23.002,1786826058.313,-69,-94,288,36,80,0
24.004,1786826059.315,-69,-94,288,36,80,0
25.001,1786826060.312,-69,-94,432,36,80,0
26.001,1786826061.311,-69,-94,432,36,80,0
27.004,1786826062.315,-69,-94,432,36,80,0
28.005,1786826063.316,-70,-94,432,36,80,0
29.003,1786826064.314,-70,-94,432,36,80,0
30.001,1786826065.312,-69,-94,432,36,80,0
31.004,1786826066.315,-70,-94,432,36,80,0
32.005,1786826067.316,-68,-94,432,36,80,0
33.005,1786826068.316,-69,-94,432,36,80,0
34.004,1786826069.315,-67,-94,432,36,80,0
35.003,1786826070.313,-68,-94,432,36,80,0
36.005,1786826071.316,-69,-94,432,36,80,0
37.003,1786826072.314,-69,-94,432,36,80,0
38.004,1786826073.315,-69,-94,432,36,80,0
39.003,1786826074.314,-68,-94,432,36,80,0
40.004,1786826075.315,-68,-94,576,36,80,0
41.005,1786826076.316,-68,-94,576,36,80,0
42.001,1786826077.311,-68,-94,576,36,80,0
43.001,1786826078.312,-68,-94,576,36,80,0
44.004,1786826079.315,-68,-94,576,36,80,0
45.001,1786826080.312,-69,-94,432,36,80,0
46.001,1786826081.312,-68,-94,432,36,80,0
47.005,1786826082.316,-68,-94,432,36,80,0
48.004,1786826083.315,-69,-94,432,36,80,0
49.005,1786826084.316,-68,-94,432,36,80,0
50.001,1786826085.313,-68,-94,408,36,80,0
51.005,1786826086.316,-68,-94,408,36,80,0
52.003,1786826087.314,-68,-94,408,36,80,0
53.004,1786826088.316,-68,-94,408,36,80,0
54.004,1786826089.315,-68,-94,408,36,80,0
55.001,1786826090.312,-69,-94,576,36,80,0
56.005,1786826091.317,-68,-94,576,36,80,0
57.002,1786826092.312,-70,-94,576,36,80,0
58.001,1786826093.312,-69,-94,576,36,80,0
59.001,1786826094.312,-69,-94,576,36,80,0
60.004,1786826095.316,-70,-94,432,36,80,0
61.005,1786826096.316,-68,-94,432,36,80,0
62.004,1786826097.315,-68,-94,432,36,80,0
63.003,1786826098.315,-67,-94,432,36,80,0
64.004,1786826099.316,-68,-94,432,36,80,0
65.002,1786826100.313,-69,-94,432,36,80,0
66.001,1786826101.312,-67,-94,432,36,80,0
67.002,1786826102.314,-67,-94,432,36,80,0
68.004,1786826103.316,-67,-94,432,36,80,0
69.002,1786826104.314,-68,-94,432,36,80,0
70.004,1786826105.315,-67,-94,576,36,80,0
71.001,1786826106.313,-67,-94,576,36,80,0
72.005,1786826107.316,-66,-94,576,36,80,0
73.001,1786826108.313,-67,-94,576,36,80,0
74.004,1786826109.316,-67,-94,576,36,80,0
75.003,1786826110.314,-68,-94,648,36,80,0
76.002,1786826111.314,-67,-94,648,36,80,0
77.001,1786826112.314,-67,-94,648,36,80,0
78.001,1786826113.312,-67,-94,648,36,80,0
79.005,1786826114.317,-67,-94,648,36,80,0
80.002,1786826115.314,-69,-94,576,36,80,0
81.001,1786826116.312,-68,-94,576,36,80,0
82.003,1786826117.315,-68,-94,576,36,80,0
83.002,1786826118.314,-67,-94,576,36,80,0
84.004,1786826119.316,-67,-94,576,36,80,0
85.002,1786826120.313,-68,-94,272,36,80,0
86.003,1786826121.315,-68,-94,272,36,80,0
87.001,1786826122.313,-68,-94,272,36,80,0
88.002,1786826123.314,-68,-94,272,36,80,0
89.005,1786826124.317,-68,-94,272,36,80,0
90.001,1786826125.312,-68,-94,432,36,80,0
91.001,1786826126.314,-68,-94,432,36,80,0
92.004,1786826127.316,-67,-94,432,36,80,0
93.001,1786826128.313,-68,-94,432,36,80,0
94.001,1786826129.313,-66,-94,432,36,80,0
95.001,1786826130.313,-67,-94,648,36,80,0
96.004,1786826131.316,-67,-94,648,36,80,0
97.002,1786826132.313,-66,-94,648,36,80,0
98.002,1786826133.314,-68,-94,648,36,80,0
99.003,1786826134.315,-67,-94,648,36,80,0
100.000,1786826135.312,-67,-94,408,36,80,0
101.001,1786826136.313,-67,-94,408,36,80,0
102.001,1786826137.314,-67,-94,408,36,80,0
103.000,1786826138.312,-67,-94,408,36,80,0
104.001,1786826139.313,-66,-94,408,36,80,0
105.001,1786826140.313,-66,-94,648,36,80,0
106.005,1786826141.317,-66,-94,648,36,80,0
107.001,1786826142.313,-66,-94,648,36,80,0
108.004,1786826143.317,-66,-94,648,36,80,0
109.005,1786826144.317,-66,-94,648,36,80,0
110.001,1786826145.312,-68,-94,720,36,80,0
111.005,1786826146.315,-68,-94,720,36,80,0
112.003,1786826147.311,-67,-94,720,36,80,0
113.001,1786826148.308,-67,-94,720,36,80,0
114.001,1786826149.306,-68,-94,720,36,80,0
115.004,1786826150.307,-71,-94,567,36,80,0
116.001,1786826151.303,-65,-94,567,36,80,0
117.005,1786826152.306,-67,-94,567,36,80,0
118.005,1786826153.305,-69,-94,567,36,80,0
119.001,1786826154.300,-68,-94,567,36,80,0
