t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787172101.195,-59,-94,648,100,80,1
1.010,1787172102.207,-59,-94,648,100,80,1
2.009,1787172103.205,-60,-94,648,100,80,1
3.010,1787172104.207,-59,-94,648,100,80,1
4.009,1787172105.204,-59,-94,648,100,80,1
5.007,1787172106.203,-60,-94,648,100,80,1
6.006,1787172107.205,-59,-94,648,100,80,1
7.002,1787172108.199,-60,-94,648,100,80,1
8.006,1787172109.202,-60,-94,680,100,80,1
9.000,1787172110.197,-59,-94,680,100,80,1
10.010,1787172111.206,-59,-94,680,100,80,1
11.007,1787172112.203,-60,-94,680,100,80,1
12.007,1787172113.204,-59,-94,680,100,80,1
13.009,1787172114.206,-59,-94,648,100,80,1
14.003,1787172115.199,-59,-94,648,100,80,1
15.010,1787172116.206,-60,-94,648,100,80,1
16.006,1787172117.201,-60,-94,648,100,80,1
17.000,1787172118.196,-59,-94,648,100,80,1
18.008,1787172119.204,-60,-94,648,100,80,1
19.010,1787172120.207,-60,-94,648,100,80,1
20.001,1787172121.199,-60,-94,648,100,80,1
21.009,1787172122.206,-59,-94,648,100,80,1
22.003,1787172123.199,-60,-94,648,100,80,1
23.009,1787172124.205,-60,-94,648,100,80,1
24.010,1787172125.206,-60,-94,648,100,80,1
25.007,1787172126.204,-60,-94,648,100,80,1
26.007,1787172127.203,-60,-94,648,100,80,1
27.003,1787172128.200,-60,-94,648,100,80,1
28.007,1787172129.202,-59,-94,720,100,80,1
29.001,1787172130.197,-59,-94,720,100,80,1
30.004,1787172131.201,-61,-94,720,100,80,1
31.010,1787172132.207,-61,-94,720,100,80,1
32.010,1787172133.207,-61,-94,720,100,80,1
33.006,1787172134.203,-61,-93,576,100,80,1
34.008,1787172135.204,-60,-93,576,100,80,1
35.007,1787172136.203,-61,-93,576,100,80,1
36.007,1787172137.204,-60,-93,576,100,80,1
37.010,1787172138.207,-61,-93,576,100,80,1
38.006,1787172139.203,-63,-93,648,100,80,1
39.010,1787172140.207,-59,-93,648,100,80,1
40.010,1787172141.206,-62,-93,648,100,80,1
41.009,1787172142.205,-64,-93,648,100,80,1
42.001,1787172143.198,-66,-93,648,100,80,1
43.010,1787172144.206,-63,-94,432,100,80,1
44.006,1787172145.204,-65,-94,432,100,80,1
45.010,1787172146.206,-59,-94,432,100,80,1
46.002,1787172147.198,-60,-94,432,100,80,1
47.006,1787172148.202,-60,-94,432,100,80,1
