t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787161860.608,-61,-95,648,100,80,1
1.005,1787161861.614,-61,-95,648,100,80,1
2.005,1787161862.614,-61,-95,648,100,80,1
3.003,1787161863.611,-62,-95,648,100,80,1
4.002,1787161864.610,-61,-95,648,100,80,1
5.000,1787161865.609,-61,-95,648,100,80,1
6.005,1787161866.613,-62,-95,648,100,80,1
7.004,1787161867.614,-61,-95,648,100,80,1
8.004,1787161868.612,-62,-95,648,100,80,1
9.005,1787161869.614,-60,-95,648,100,80,1
10.003,1787161870.611,-60,-95,720,100,80,1
11.003,1787161871.612,-61,-95,720,100,80,1
12.005,1787161872.614,-61,-95,720,100,80,1
13.001,1787161873.610,-61,-95,720,100,80,1
14.003,1787161874.612,-61,-95,720,100,80,1
15.001,1787161875.609,-63,-95,576,100,80,1
16.005,1787161876.613,-62,-95,576,100,80,1
17.005,1787161877.614,-61,-95,576,100,80,1
18.005,1787161878.614,-61,-95,576,100,80,1
19.005,1787161879.613,-61,-95,576,100,80,1
20.002,1787161880.610,-61,-95,576,100,80,1
21.005,1787161881.614,-60,-95,576,100,80,1
22.002,1787161882.610,-61,-95,576,100,80,1
23.005,1787161883.614,-61,-95,576,100,80,1
24.005,1787161884.614,-61,-95,576,100,80,1
25.005,1787161885.614,-61,-95,408,100,80,1
26.005,1787161886.615,-61,-95,408,100,80,1
27.000,1787161887.611,-61,-95,408,100,80,1
28.001,1787161888.609,-61,-95,408,100,80,1
29.001,1787161889.610,-61,-95,408,100,80,1
30.001,1787161890.610,-61,-95,576,100,80,1
31.001,1787161891.610,-63,-95,576,100,80,1
32.005,1787161892.614,-61,-95,576,100,80,1
33.002,1787161893.611,-61,-95,576,100,80,1
34.003,1787161894.612,-61,-95,576,100,80,1
35.004,1787161895.614,-61,-95,576,100,80,1
36.003,1787161896.613,-61,-95,576,100,80,1
37.005,1787161897.614,-61,-95,576,100,80,1
38.004,1787161898.613,-60,-95,576,100,80,1
39.005,1787161899.614,-60,-95,576,100,80,1
40.005,1787161900.615,-60,-95,612,100,80,1
41.005,1787161901.615,-60,-95,612,100,80,1
42.004,1787161902.614,-62,-95,612,100,80,1
43.001,1787161903.611,-60,-95,612,100,80,1
44.005,1787161904.615,-61,-95,612,100,80,1
45.003,1787161905.612,-60,-95,612,100,80,1
46.004,1787161906.612,-60,-95,648,100,80,1
47.003,1787161907.613,-60,-95,648,100,80,1
48.001,1787161908.611,-61,-95,648,100,80,1
49.004,1787161909.613,-59,-95,648,100,80,1
50.005,1787161910.615,-60,-95,648,100,80,1
51.005,1787161911.614,-60,-95,612,100,80,1
52.003,1787161912.611,-59,-95,612,100,80,1
53.005,1787161913.615,-62,-95,612,100,80,1
54.005,1787161914.614,-61,-95,612,100,80,1
55.005,1787161915.615,-60,-95,612,100,80,1
56.004,1787161916.613,-60,-95,432,100,80,1
57.005,1787161917.614,-60,-95,432,100,80,1
58.005,1787161918.614,-60,-95,432,100,80,1
59.000,1787161919.610,-60,-95,432,100,80,1
60.003,1787161920.612,-60,-95,432,100,80,1
61.000,1787161921.610,-59,-95,432,100,80,1
62.005,1787161922.614,-59,-95,432,100,80,1
63.005,1787161923.615,-61,-95,432,100,80,1
64.005,1787161924.614,-61,-95,432,100,80,1
65.000,1787161925.609,-61,-95,432,100,80,1
66.005,1787161926.615,-61,-95,648,100,80,1
67.005,1787161927.614,-61,-95,648,100,80,1
68.005,1787161928.615,-59,-95,648,100,80,1
69.005,1787161929.614,-61,-95,648,100,80,1
70.002,1787161930.611,-60,-95,648,100,80,1
71.003,1787161931.612,-60,-95,680,100,80,1
72.004,1787161932.613,-60,-95,680,100,80,1
73.004,1787161933.614,-59,-95,680,100,80,1
74.001,1787161934.611,-60,-95,680,100,80,1
75.005,1787161935.614,-60,-95,680,100,80,1
76.001,1787161936.610,-62,-95,720,100,80,1
77.005,1787161937.615,-61,-95,720,100,80,1
78.001,1787161938.610,-62,-95,720,100,80,1
79.002,1787161939.611,-60,-95,720,100,80,1
80.003,1787161940.613,-60,-95,720,100,80,1
81.004,1787161941.613,-60,-95,648,100,80,1
82.003,1787161942.612,-60,-95,648,100,80,1
83.005,1787161943.615,-60,-95,648,100,80,1
84.005,1787161944.615,-60,-95,648,100,80,1
85.005,1787161945.615,-60,-95,648,100,80,1
86.000,1787161946.610,-61,-95,648,100,80,1
87.002,1787161947.612,-60,-95,648,100,80,1
88.003,1787161948.612,-60,-95,648,100,80,1
89.005,1787161949.615,-60,-95,648,100,80,1
90.005,1787161950.615,-59,-93,648,100,80,1
91.003,1787161951.613,-60,-93,648,100,80,1
92.003,1787161952.613,-60,-93,648,100,80,1
93.005,1787161953.615,-59,-93,648,100,80,1
94.005,1787161954.614,-59,-93,648,100,80,1
95.004,1787161955.614,-59,-93,648,100,80,1
96.003,1787161956.613,-60,-93,720,100,80,1
97.005,1787161957.615,-61,-93,720,100,80,1
98.005,1787161958.615,-60,-93,720,100,80,1
99.003,1787161959.613,-61,-93,720,100,80,1
100.004,1787161960.614,-61,-93,720,100,80,1
101.005,1787161961.614,-62,-93,432,100,80,1
102.000,1787161962.611,-61,-93,432,100,80,1
103.002,1787161963.612,-62,-93,432,100,80,1
104.005,1787161964.615,-62,-93,432,100,80,1
105.002,1787161965.612,-63,-93,432,100,80,1
106.005,1787161966.614,-61,-93,612,100,80,1
107.003,1787161967.612,-62,-93,612,100,80,1
108.004,1787161968.614,-61,-93,612,100,80,1
109.002,1787161969.612,-62,-93,612,100,80,1
110.005,1787161970.616,-63,-93,612,100,80,1
111.002,1787161971.613,-62,-93,720,100,80,1
112.001,1787161972.610,-62,-93,720,100,80,1
113.005,1787161973.615,-62,-93,720,100,80,1
114.003,1787161974.613,-62,-93,720,100,80,1
115.005,1787161975.615,-61,-93,720,100,80,1
116.004,1787161976.614,-62,-93,648,100,80,1
117.005,1787161977.614,-61,-93,648,100,80,1
118.005,1787161978.615,-62,-93,648,100,80,1
119.005,1787161979.615,-61,-93,648,100,80,1
