t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787161988.998,-61,-95,648,100,80,1
1.004,1787161990.002,-61,-95,648,100,80,1
2.004,1787161991.002,-60,-95,648,100,80,1
3.001,1787161991.999,-60,-95,648,100,80,1
4.005,1787161993.004,-60,-95,648,100,80,1
5.001,1787161994.000,-60,-95,648,100,80,1
6.003,1787161995.001,-60,-95,648,100,80,1
7.002,1787161996.001,-61,-95,612,100,80,1
8.003,1787161997.002,-62,-95,612,100,80,1
9.002,1787161998.000,-60,-95,612,100,80,1
10.005,1787161999.004,-61,-95,612,100,80,1
11.005,1787162000.004,-61,-95,612,100,80,1
12.003,1787162001.002,-60,-95,612,100,80,1
13.001,1787162002.001,-59,-95,612,100,80,1
14.005,1787162003.005,-61,-95,612,100,80,1
15.005,1787162004.005,-60,-95,612,100,80,1
16.005,1787162005.005,-61,-95,612,100,80,1
17.003,1787162006.003,-60,-95,648,100,80,1
18.005,1787162007.005,-60,-95,648,100,80,1
19.003,1787162008.003,-60,-95,648,100,80,1
20.001,1787162009.000,-60,-95,648,100,80,1
21.005,1787162010.005,-60,-95,648,100,80,1
22.002,1787162011.009,-60,-95,648,100,80,1
23.002,1787162012.001,-60,-95,648,100,80,1
24.005,1787162013.004,-61,-95,648,100,80,1
25.003,1787162014.003,-60,-95,648,100,80,1
26.002,1787162015.001,-61,-95,648,100,80,1
27.003,1787162016.003,-61,-95,648,100,80,1
28.002,1787162017.001,-60,-95,648,100,80,1
29.003,1787162018.002,-60,-95,648,100,80,1
30.005,1787162019.005,-60,-95,648,100,80,1
31.001,1787162020.000,-60,-95,648,100,80,1
32.003,1787162021.003,-59,-95,648,100,80,1
33.003,1787162022.003,-61,-95,648,100,80,1
34.002,1787162023.002,-60,-95,648,100,80,1
35.001,1787162024.000,-61,-95,648,100,80,1
36.002,1787162025.002,-60,-95,648,100,80,1
37.005,1787162026.005,-61,-95,648,100,80,1
38.002,1787162027.001,-60,-95,648,100,80,1
39.005,1787162028.007,-61,-95,648,100,80,1
40.005,1787162029.005,-61,-95,648,100,80,1
41.002,1787162030.001,-61,-95,648,100,80,1
42.002,1787162031.002,-61,-95,648,100,80,1
43.001,1787162032.001,-61,-95,648,100,80,1
44.004,1787162033.003,-60,-95,648,100,80,1
45.002,1787162034.001,-61,-95,648,100,80,1
46.001,1787162035.001,-61,-95,648,100,80,1
47.005,1787162036.004,-61,-95,648,100,80,1
48.003,1787162037.002,-61,-95,720,100,80,1
49.003,1787162038.003,-60,-95,720,100,80,1
50.001,1787162039.000,-61,-95,720,100,80,1
51.004,1787162040.003,-61,-95,720,100,80,1
52.005,1787162041.005,-60,-95,720,100,80,1
53.000,1787162042.000,-60,-95,648,100,80,1
54.005,1787162043.005,-61,-95,648,100,80,1
55.001,1787162044.001,-61,-95,648,100,80,1
56.005,1787162045.004,-62,-95,648,100,80,1
57.001,1787162046.001,-61,-95,648,100,80,1
58.005,1787162047.005,-61,-95,612,100,80,1
59.005,1787162048.004,-61,-95,612,100,80,1
60.002,1787162049.002,-62,-95,612,100,80,1
61.002,1787162050.001,-61,-95,612,100,80,1
