t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787162111.084,-60,-95,576,100,80,1
1.003,1787162112.088,-60,-95,408,100,80,1
2.004,1787162113.090,-60,-95,408,100,80,1
3.003,1787162114.089,-62,-95,408,100,80,1
4.005,1787162115.090,-61,-95,408,100,80,1
5.003,1787162116.089,-62,-95,408,100,80,1
6.005,1787162117.090,-61,-95,544,100,80,1
7.001,1787162118.089,-59,-95,544,100,80,1
8.004,1787162119.089,-60,-95,544,100,80,1
9.000,1787162120.086,-60,-95,544,100,80,1
10.005,1787162121.091,-60,-95,544,100,80,1
11.005,1787162122.091,-59,-95,648,100,80,1
12.001,1787162123.086,-60,-95,648,100,80,1
13.004,1787162124.090,-61,-95,648,100,80,1
14.005,1787162125.091,-61,-95,648,100,80,1
15.001,1787162126.086,-60,-95,648,100,80,1
16.004,1787162127.089,-61,-95,648,100,80,1
17.005,1787162128.091,-62,-95,648,100,80,1
18.004,1787162129.090,-62,-95,648,100,80,1
19.003,1787162130.090,-61,-95,648,100,80,1
20.002,1787162131.088,-62,-95,648,100,80,1
21.005,1787162132.090,-62,-95,680,100,80,1
22.004,1787162133.090,-62,-95,680,100,80,1
23.005,1787162134.091,-60,-95,680,100,80,1
24.005,1787162135.091,-62,-95,680,100,80,1
25.004,1787162136.090,-62,-95,680,100,80,1
26.005,1787162137.091,-62,-95,576,100,80,1
27.005,1787162138.091,-62,-95,576,100,80,1
28.005,1787162139.091,-62,-95,576,100,80,1
29.001,1787162140.087,-62,-95,576,100,80,1
30.005,1787162141.090,-61,-95,576,100,80,1
31.003,1787162142.089,-62,-95,576,100,80,1
32.003,1787162143.090,-62,-95,576,100,80,1
33.005,1787162144.092,-61,-95,576,100,80,1
34.005,1787162145.092,-61,-95,576,100,80,1
35.005,1787162146.091,-60,-95,576,100,80,1
36.004,1787162147.089,-61,-95,720,100,80,1
37.005,1787162148.091,-60,-95,720,100,80,1
38.005,1787162149.091,-60,-95,720,100,80,1
39.001,1787162150.087,-60,-95,720,100,80,1
