t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787162231.395,-62,-94,648,100,80,1
1.002,1787162232.398,-62,-94,576,100,80,1
2.001,1787162233.397,-61,-94,576,100,80,1
3.005,1787162234.401,-60,-94,576,100,80,1
4.003,1787162235.400,-59,-94,576,100,80,1
5.001,1787162236.397,-59,-94,576,100,80,1
6.005,1787162237.401,-60,-94,648,100,80,1
7.002,1787162238.399,-60,-94,648,100,80,1
8.005,1787162239.401,-60,-94,648,100,80,1
9.001,1787162240.399,-60,-94,648,100,80,1
10.002,1787162241.398,-59,-94,648,100,80,1
11.002,1787162242.398,-60,-94,680,100,80,1
12.005,1787162243.401,-61,-94,680,100,80,1
13.003,1787162244.399,-62,-94,680,100,80,1
14.001,1787162245.397,-62,-94,680,100,80,1
15.005,1787162246.401,-62,-94,680,100,80,1
16.001,1787162247.397,-60,-94,154,100,80,1
17.001,1787162248.397,-62,-94,154,100,80,1
18.005,1787162249.401,-62,-94,154,100,80,1
19.004,1787162250.400,-62,-94,154,100,80,1
20.006,1787162251.413,-62,-94,154,100,80,1
21.002,1787162252.399,-62,-94,648,100,80,1
22.001,1787162253.398,-63,-94,648,100,80,1
23.001,1787162254.396,-62,-94,648,100,80,1
24.002,1787162255.398,-62,-94,648,100,80,1
25.003,1787162256.400,-62,-94,648,100,80,1
26.005,1787162257.402,-62,-94,612,100,80,1
27.001,1787162258.398,-63,-94,612,100,80,1
28.005,1787162259.401,-62,-94,612,100,80,1
29.004,1787162260.400,-62,-94,612,100,80,1
30.005,1787162261.401,-62,-94,612,100,80,1
31.004,1787162262.401,-62,-94,648,100,80,1
32.003,1787162263.399,-62,-94,648,100,80,1
33.005,1787162264.404,-62,-94,648,100,80,1
34.005,1787162265.402,-62,-94,648,100,80,1
35.002,1787162266.398,-62,-94,648,100,80,1
36.004,1787162267.401,-61,-94,648,100,80,1
37.005,1787162268.402,-61,-94,648,100,80,1
38.004,1787162269.400,-61,-94,648,100,80,1
39.003,1787162270.399,-62,-94,648,100,80,1
40.001,1787162271.398,-61,-94,648,100,80,1
41.002,1787162272.398,-61,-94,648,100,80,1
42.004,1787162273.400,-62,-94,648,100,80,1
43.005,1787162274.402,-61,-94,648,100,80,1
44.005,1787162275.402,-61,-94,648,100,80,1
45.004,1787162276.401,-62,-94,648,100,80,1
46.000,1787162277.397,-60,-94,648,100,80,1
47.005,1787162278.402,-61,-94,648,100,80,1
48.005,1787162279.401,-60,-94,648,100,80,1
49.004,1787162280.402,-60,-94,648,100,80,1
50.005,1787162281.402,-61,-94,648,100,80,1
51.005,1787162282.402,-61,-94,648,100,80,1
52.005,1787162283.402,-60,-94,648,100,80,1
53.000,1787162284.396,-60,-94,648,100,80,1
54.005,1787162285.401,-61,-94,648,100,80,1
55.002,1787162286.399,-61,-94,648,100,80,1
56.005,1787162287.402,-62,-94,680,100,80,1
57.000,1787162288.398,-62,-94,680,100,80,1
58.005,1787162289.402,-61,-94,680,100,80,1
59.004,1787162290.401,-59,-94,680,100,80,1
