t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1787162354.598,-61,-94,576,100,80,1
1.005,1787162355.603,-61,-94,576,100,80,1
2.005,1787162356.603,-61,-94,576,100,80,1
3.005,1787162357.604,-60,-94,680,100,80,1
4.005,1787162358.604,-61,-94,680,100,80,1
5.005,1787162359.604,-61,-94,680,100,80,1
6.005,1787162360.604,-61,-94,680,100,80,1
7.003,1787162361.602,-61,-94,680,100,80,1
8.001,1787162362.599,-61,-94,648,100,80,1
9.003,1787162363.601,-61,-94,648,100,80,1
10.004,1787162364.603,-62,-94,648,100,80,1
11.005,1787162365.603,-61,-94,648,100,80,1
12.005,1787162366.604,-61,-94,648,100,80,1
13.005,1787162367.604,-61,-94,648,100,80,1
14.005,1787162368.603,-61,-94,648,100,80,1
15.005,1787162369.604,-61,-94,648,100,80,1
16.005,1787162370.604,-62,-94,648,100,80,1
17.004,1787162371.604,-60,-94,648,100,80,1
18.005,1787162372.604,-60,-94,567,100,80,1
19.005,1787162373.604,-62,-94,567,100,80,1
20.005,1787162374.603,-62,-94,567,100,80,1
21.005,1787162375.604,-61,-94,567,100,80,1
22.001,1787162376.600,-61,-94,567,100,80,1
23.005,1787162377.604,-60,-94,648,100,80,1
24.005,1787162378.606,-59,-94,648,100,80,1
25.005,1787162379.604,-61,-94,648,100,80,1
26.002,1787162380.601,-60,-94,648,100,80,1
27.004,1787162381.604,-60,-94,648,100,80,1
28.005,1787162382.604,-61,-94,648,100,80,1
29.003,1787162383.602,-62,-94,648,100,80,1
30.000,1787162384.599,-61,-94,648,100,80,1
31.001,1787162385.600,-61,-94,648,100,80,1
32.003,1787162386.602,-60,-94,648,100,80,1
33.005,1787162387.604,-61,-94,612,100,80,1
34.005,1787162388.605,-61,-94,612,100,80,1
35.005,1787162389.604,-60,-94,612,100,80,1
36.004,1787162390.604,-60,-94,612,100,80,1
37.005,1787162391.603,-60,-94,612,100,80,1
38.005,1787162392.604,-59,-94,648,100,80,1
39.000,1787162393.600,-60,-94,648,100,80,1
40.005,1787162394.605,-60,-94,648,100,80,1
41.005,1787162395.605,-60,-94,648,100,80,1
42.000,1787162396.600,-60,-94,648,100,80,1
43.001,1787162397.601,-60,-94,648,100,80,1
44.003,1787162398.602,-60,-94,648,100,80,1
45.002,1787162399.602,-60,-94,648,100,80,1
46.001,1787162400.601,-60,-94,648,100,80,1
47.005,1787162401.604,-59,-94,648,100,80,1
48.005,1787162402.604,-59,-94,720,100,80,1
49.002,1787162403.601,-59,-94,720,100,80,1
50.005,1787162404.604,-61,-94,720,100,80,1
51.003,1787162405.601,-60,-94,720,100,80,1
52.004,1787162406.603,-58,-94,720,100,80,1
53.003,1787162407.602,-59,-94,612,100,80,1
54.005,1787162408.604,-59,-94,612,100,80,1
55.003,1787162409.602,-59,-94,612,100,80,1
56.005,1787162410.604,-59,-94,612,100,80,1
57.003,1787162411.602,-59,-94,612,100,80,1
58.003,1787162412.602,-59,-94,680,100,80,1
59.003,1787162413.602,-60,-94,680,100,80,1
60.005,1787162414.604,-61,-94,680,100,80,1
61.005,1787162415.605,-61,-94,680,100,80,1
62.005,1787162416.604,-60,-94,680,100,80,1
63.005,1787162417.605,-60,-94,612,100,80,1
64.002,1787162418.602,-61,-94,612,100,80,1
65.000,1787162419.600,-60,-94,612,100,80,1
66.005,1787162420.604,-60,-94,612,100,80,1
67.004,1787162421.604,-62,-94,612,100,80,1
68.005,1787162422.604,-62,-94,648,100,80,1
69.005,1787162423.605,-59,-94,648,100,80,1
70.005,1787162424.605,-59,-94,648,100,80,1
71.005,1787162425.605,-59,-94,648,100,80,1
72.005,1787162426.605,-59,-94,648,100,80,1
73.005,1787162427.605,-60,-94,680,100,80,1
74.005,1787162428.604,-59,-94,680,100,80,1
75.005,1787162429.604,-60,-94,680,100,80,1
76.004,1787162430.603,-60,-94,680,100,80,1
77.004,1787162431.604,-60,-94,680,100,80,1
78.001,1787162432.601,-59,-94,816,100,80,1
79.004,1787162433.604,-60,-94,816,100,80,1
80.003,1787162434.602,-60,-94,816,100,80,1
81.001,1787162435.602,-60,-94,816,100,80,1
82.001,1787162436.601,-59,-94,816,100,80,1
83.001,1787162437.601,-60,-94,544,100,80,1
84.002,1787162438.603,-59,-94,544,100,80,1
