t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
0.000,1786573846.433,-44,-94,1200,116,80,6
1.001,1786573847.436,-44,-94,1200,116,80,6
2.003,1786573848.438,-44,-94,1200,116,80,6
3.001,1786573849.435,-44,-94,1200,116,80,6
4.003,1786573850.438,-44,-94,1200,116,80,6
5.003,1786573851.437,-41,-94,1200,116,80,6
6.004,1786573852.439,-42,-94,286,116,80,6
7.004,1786573853.438,-42,-94,286,116,80,6
8.005,1786573854.439,-42,-94,286,116,80,6
9.004,1786573855.439,-44,-94,286,116,80,6
10.000,1786573856.434,-42,-94,286,116,80,6
11.005,1786573857.438,-42,-94,1200,116,80,6
12.004,1786573858.438,-43,-94,1200,116,80,6
13.000,1786573859.434,-43,-94,1200,116,80,6
14.005,1786573860.438,-43,-94,1200,116,80,6
15.001,1786573861.434,-43,-94,1200,116,80,6
16.005,1786573862.438,-43,-94,1200,116,80,6
17.005,1786573863.438,-42,-94,1200,116,80,6
18.005,1786573864.438,-41,-94,1200,116,80,6
19.004,1786573865.437,-41,-94,1200,116,80,6
20.005,1786573866.438,-41,-94,1200,116,80,6
21.005,1786573867.438,-41,-94,1200,116,80,6
22.004,1786573868.437,-41,-94,1200,116,80,6
23.005,1786573869.439,-41,-94,1200,116,80,6
24.000,1786573870.433,-41,-94,1200,116,80,6
25.005,1786573871.439,-41,-94,1200,116,80,6
26.001,1786573872.434,-40,-94,1200,116,80,6
27.002,1786573873.435,-40,-94,1200,116,80,6
28.000,1786573874.434,-41,-94,1200,116,80,6
29.003,1786573875.436,-41,-94,1200,116,80,6
30.003,1786573876.436,-42,-94,1200,116,80,6
31.002,1786573877.436,-41,-94,1200,116,80,6
32.004,1786573878.438,-42,-94,1200,116,80,6
33.003,1786573879.436,-41,-94,1200,116,80,6
34.002,1786573880.435,-41,-94,1200,116,80,6
35.003,1786573881.436,-41,-94,1200,116,80,6
36.000,1786573882.434,-40,-94,1200,116,80,6
37.002,1786573883.435,-40,-94,1200,116,80,6
38.001,1786573884.435,-40,-94,1200,116,80,6
39.001,1786573885.434,-40,-94,1200,116,80,6
40.001,1786573886.435,-40,-94,1200,116,80,6
41.000,1786573887.433,-41,-94,1200,116,80,6
42.001,1786573888.435,-40,-94,1200,116,80,6
43.000,1786573889.434,-41,-94,1200,116,80,6
44.003,1786573890.436,-41,-94,1200,116,80,6
45.004,1786573891.437,-41,-94,1200,116,80,6
46.004,1786573892.438,-40,-94,1200,116,80,6
47.002,1786573893.435,-41,-94,1200,116,80,6
48.000,1786573894.434,-43,-94,1200,116,80,6
49.005,1786573895.439,-41,-94,1200,116,80,6
50.003,1786573896.436,-43,-94,1200,116,80,6
51.000,1786573897.435,-43,-94,1200,116,80,6
52.002,1786573898.435,-42,-94,1200,116,80,6
53.002,1786573899.436,-42,-94,1200,116,80,6
54.002,1786573900.435,-42,-94,1200,116,80,6
55.005,1786573901.439,-42,-94,1200,116,80,6
56.004,1786573902.437,-43,-94,1200,116,80,6
57.002,1786573903.435,-43,-94,1200,116,80,6
58.004,1786573904.438,-43,-94,1200,116,80,6
59.003,1786573905.437,-43,-94,1200,116,80,6
60.003,1786573906.436,-43,-94,1200,116,80,6
61.004,1786573907.437,-43,-94,1200,116,80,6
62.003,1786573908.437,-43,-94,1200,116,80,6
63.005,1786573909.438,-43,-94,1200,116,80,6
64.000,1786573910.434,-43,-94,1200,116,80,6
65.003,1786573911.436,-43,-94,1200,116,80,6
66.000,1786573912.434,-43,-94,1200,116,80,6
67.003,1786573913.437,-45,-94,1200,116,80,6
68.001,1786573914.434,-45,-94,1200,116,80,6
69.005,1786573915.439,-45,-94,1200,116,80,6
70.002,1786573916.435,-45,-94,1200,116,80,6
71.003,1786573917.436,-45,-94,1080,116,80,6
72.003,1786573918.436,-45,-94,1080,116,80,6
73.005,1786573919.438,-45,-94,1080,116,80,6
