t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
0.000,1786567130.204,-39,-95,1200,116,80,6
1.003,1786567131.208,-39,-95,1200,116,80,6
2.004,1786567132.208,-40,-95,1200,116,80,6
3.005,1786567133.209,-40,-95,1200,116,80,6
4.005,1786567134.209,-39,-95,1200,116,80,6
5.005,1786567135.210,-39,-95,1200,116,80,6
6.005,1786567136.209,-39,-95,1200,116,80,6
7.004,1786567137.209,-40,-95,1200,116,80,6
8.005,1786567138.209,-40,-95,1200,116,80,6
9.005,1786567139.209,-40,-95,1200,116,80,6
10.002,1786567140.207,-39,-95,1200,116,80,6
11.005,1786567141.209,-40,-95,1200,116,80,6
12.000,1786567142.204,-40,-95,1200,116,80,6
13.001,1786567143.205,-40,-95,1200,116,80,6
14.005,1786567144.209,-40,-95,1200,116,80,6
15.002,1786567145.206,-40,-95,1200,116,80,6
16.002,1786567146.206,-40,-95,1200,116,80,6
17.005,1786567147.209,-40,-95,1200,116,80,6
18.004,1786567148.208,-40,-95,1200,116,80,6
19.000,1786567149.205,-40,-95,1200,116,80,6
20.000,1786567150.204,-40,-95,1200,116,80,6
21.000,1786567151.204,-40,-95,1200,116,80,6
22.001,1786567152.205,-40,-95,1200,116,80,6
23.005,1786567153.209,-40,-95,1200,116,80,6
24.002,1786567154.206,-40,-95,1200,116,80,6
25.001,1786567155.205,-40,-95,1200,116,80,6
26.000,1786567156.204,-40,-95,1200,116,80,6
27.005,1786567157.209,-40,-95,1200,116,80,6
28.002,1786567158.206,-40,-95,1200,116,80,6
29.002,1786567159.206,-40,-95,1200,116,80,6
30.005,1786567160.209,-40,-95,1200,116,80,6
31.001,1786567161.206,-40,-95,1200,116,80,6
32.004,1786567162.209,-40,-95,1200,116,80,6
33.005,1786567163.209,-40,-95,1200,116,80,6
34.005,1786567164.210,-40,-95,1200,116,80,6
35.004,1786567165.208,-40,-95,1200,116,80,6
36.001,1786567166.205,-40,-95,1200,116,80,6
37.002,1786567167.207,-40,-95,1200,116,80,6
38.005,1786567168.210,-40,-95,1200,116,80,6
39.002,1786567169.207,-40,-95,1200,116,80,6
40.000,1786567170.205,-41,-95,1200,116,80,6
41.001,1786567171.205,-40,-95,1200,116,80,6
42.000,1786567172.205,-40,-95,1200,116,80,6
43.005,1786567173.209,-40,-95,1200,116,80,6
44.000,1786567174.205,-40,-95,1200,116,80,6
45.004,1786567175.209,-40,-95,1200,116,80,6
46.000,1786567176.205,-40,-95,1200,116,80,6
47.003,1786567177.207,-40,-95,1200,116,80,6
48.005,1786567178.210,-40,-95,1200,116,80,6
49.005,1786567179.209,-41,-95,1200,116,80,6
50.005,1786567180.209,-41,-95,1200,116,80,6
51.004,1786567181.209,-40,-95,1200,116,80,6
52.005,1786567182.209,-40,-95,1200,116,80,6
53.005,1786567183.210,-41,-95,1200,116,80,6
54.001,1786567184.206,-41,-95,1200,116,80,6
55.001,1786567185.206,-40,-95,1200,116,80,6
56.002,1786567186.206,-40,-95,1200,116,80,6
57.000,1786567187.205,-40,-95,1200,116,80,6
58.000,1786567188.205,-40,-95,1200,116,80,6
59.005,1786567189.209,-40,-95,1200,116,80,6
60.003,1786567190.207,-40,-95,1200,116,80,6
61.001,1786567191.205,-40,-95,1200,116,80,6
62.005,1786567192.210,-40,-95,1200,116,80,6
63.005,1786567193.210,-40,-95,1200,116,80,6
64.005,1786567194.210,-40,-95,1200,116,80,6
65.005,1786567195.210,-40,-95,1200,116,80,6
66.005,1786567196.210,-41,-95,1200,116,80,6
67.001,1786567197.206,-40,-95,1200,116,80,6
68.003,1786567198.208,-39,-95,1200,116,80,6
69.001,1786567199.206,-39,-95,1200,116,80,6
70.002,1786567200.206,-39,-95,1200,116,80,6
71.005,1786567201.210,-39,-95,1200,116,80,6
72.001,1786567202.206,-39,-95,1200,116,80,6
73.002,1786567203.207,-39,-95,1200,116,80,6
74.005,1786567204.210,-39,-95,1200,116,80,6
75.004,1786567205.209,-40,-95,1200,116,80,6
76.005,1786567206.209,-40,-95,1200,116,80,6
77.005,1786567207.210,-41,-95,1200,116,80,6
