t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
0.000,1786566250.120,-66,-93,544,116,80,6
1.005,1786566251.126,-65,-93,544,116,80,6
2.004,1786566252.125,-65,-93,544,116,80,6
3.003,1786566253.125,-64,-93,432,116,80,6
4.004,1786566254.125,-65,-93,432,116,80,6
5.001,1786566255.122,-65,-93,432,116,80,6
6.004,1786566256.125,-65,-93,432,116,80,6
7.000,1786566257.119,-65,-93,432,116,80,6
8.004,1786566258.124,-64,-93,432,116,80,6
9.000,1786566259.120,-63,-93,432,116,80,6
10.000,1786566260.120,-64,-93,432,116,80,6
11.001,1786566261.121,-65,-93,432,116,80,6
12.003,1786566262.123,-64,-93,432,116,80,6
13.002,1786566263.123,-64,-93,432,116,80,6
14.004,1786566264.124,-64,-93,432,116,80,6
15.003,1786566265.123,-64,-93,432,116,80,6
16.004,1786566266.125,-65,-93,432,116,80,6
17.003,1786566267.123,-64,-93,432,116,80,6
18.000,1786566268.120,-65,-93,432,116,80,6
19.002,1786566269.123,-64,-93,432,116,80,6
20.003,1786566270.123,-64,-93,432,116,80,6
21.002,1786566271.123,-65,-93,432,116,80,6
22.003,1786566272.123,-64,-93,432,116,80,6
23.004,1786566273.124,-64,-93,432,116,80,6
24.005,1786566274.125,-64,-93,432,116,80,6
25.003,1786566275.123,-65,-93,432,116,80,6
26.003,1786566276.123,-64,-93,432,116,80,6
27.000,1786566277.121,-64,-93,432,116,80,6
28.002,1786566278.123,-64,-93,432,116,80,6
29.003,1786566279.123,-64,-93,432,116,80,6
30.005,1786566280.125,-65,-93,432,116,80,6
31.003,1786566281.123,-65,-93,432,116,80,6
32.003,1786566282.123,-65,-93,432,116,80,6
33.003,1786566283.124,-65,-93,432,116,80,6
34.005,1786566284.125,-65,-93,432,116,80,6
35.000,1786566285.120,-64,-93,432,116,80,6
36.000,1786566286.120,-64,-93,432,116,80,6
37.005,1786566287.125,-64,-93,432,116,80,6
38.000,1786566288.121,-64,-93,432,116,80,6
39.005,1786566289.125,-64,-93,432,116,80,6
40.005,1786566290.125,-64,-93,432,116,80,6
41.003,1786566291.123,-64,-93,432,116,80,6
42.003,1786566292.124,-64,-93,432,116,80,6
43.002,1786566293.123,-64,-93,432,116,80,6
44.005,1786566294.125,-64,-93,432,116,80,6
45.003,1786566295.124,-64,-93,432,116,80,6
46.004,1786566296.125,-64,-93,432,116,80,6
47.003,1786566297.123,-64,-93,432,116,80,6
48.002,1786566298.123,-64,-94,432,116,80,6
49.003,1786566299.123,-64,-94,432,116,80,6
50.000,1786566300.121,-64,-94,432,116,80,6
51.004,1786566301.125,-64,-94,432,116,80,6
52.003,1786566302.123,-64,-94,432,116,80,6
53.005,1786566303.125,-64,-95,432,116,80,6
54.004,1786566304.124,-64,-95,432,116,80,6
55.002,1786566305.123,-65,-95,432,116,80,6
56.000,1786566306.120,-64,-95,432,116,80,6
57.000,1786566307.121,-64,-95,432,116,80,6
58.004,1786566308.125,-64,-95,288,116,80,6
59.000,1786566309.121,-64,-95,288,116,80,6
60.005,1786566310.126,-63,-95,288,116,80,6
61.001,1786566311.122,-66,-95,288,116,80,6
62.005,1786566312.126,-64,-95,288,116,80,6
63.000,1786566313.121,-65,-95,288,116,80,6
64.005,1786566314.129,-64,-95,288,116,80,6
65.003,1786566315.123,-64,-95,288,116,80,6
66.004,1786566316.124,-64,-95,288,116,80,6
67.004,1786566317.125,-65,-95,288,116,80,6
68.003,1786566318.123,-65,-95,288,116,80,6
69.004,1786566319.125,-66,-95,288,116,80,6
70.003,1786566320.124,-66,-95,288,116,80,6
71.005,1786566321.126,-66,-95,288,116,80,6
72.003,1786566322.124,-66,-95,288,116,80,6
73.000,1786566323.122,-66,-95,272,116,80,6
74.000,1786566324.121,-66,-95,272,116,80,6
75.003,1786566325.124,-66,-95,272,116,80,6
76.005,1786566326.128,-66,-95,272,116,80,6
77.003,1786566327.123,-65,-95,272,116,80,6
