t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
0.000,1786567760.589,-61,-94,576,116,80,6
1.005,1786567761.594,-61,-94,576,116,80,6
2.004,1786567762.594,-61,-94,432,116,80,6
3.001,1786567763.589,-59,-94,432,116,80,6
4.005,1786567764.595,-60,-94,432,116,80,6
5.005,1786567765.594,-60,-94,432,116,80,6
6.003,1786567766.592,-60,-94,432,116,80,6
7.001,1786567767.589,-60,-94,432,116,80,6
8.005,1786567768.594,-60,-94,576,116,80,6
9.003,1786567769.592,-60,-94,576,116,80,6
10.004,1786567770.593,-60,-94,576,116,80,6
11.001,1786567771.591,-60,-94,576,116,80,6
12.003,1786567772.593,-60,-94,576,116,80,6
13.004,1786567773.594,-60,-94,432,116,80,6
14.000,1786567774.588,-60,-94,432,116,80,6
15.003,1786567775.591,-60,-94,432,116,80,6
16.003,1786567776.591,-59,-94,432,116,80,6
17.005,1786567777.594,-60,-94,432,116,80,6
18.000,1786567778.588,-59,-94,544,116,80,6
19.004,1786567779.594,-59,-94,544,116,80,6
20.003,1786567780.591,-59,-94,544,116,80,6
21.003,1786567781.591,-59,-94,544,116,80,6
22.004,1786567782.592,-59,-94,544,116,80,6
23.004,1786567783.593,-59,-94,576,116,80,6
24.005,1786567784.594,-60,-94,576,116,80,6
25.001,1786567785.589,-60,-94,576,116,80,6
26.005,1786567786.594,-60,-94,576,116,80,6
27.003,1786567787.591,-60,-94,576,116,80,6
28.004,1786567788.592,-59,-94,432,116,80,6
29.004,1786567789.593,-60,-94,432,116,80,6
30.004,1786567790.593,-60,-94,432,116,80,6
31.005,1786567791.593,-59,-94,432,116,80,6
32.003,1786567792.593,-60,-94,432,116,80,6
33.005,1786567793.594,-60,-94,432,116,80,6
34.005,1786567794.594,-60,-94,432,116,80,6
35.005,1786567795.593,-60,-94,432,116,80,6
36.004,1786567796.593,-61,-94,432,116,80,6
37.000,1786567797.588,-61,-94,432,116,80,6
38.003,1786567798.591,-61,-94,648,116,80,6
39.000,1786567799.588,-60,-94,648,116,80,6
40.005,1786567800.593,-60,-94,648,116,80,6
41.005,1786567801.593,-61,-94,648,116,80,6
42.004,1786567802.592,-60,-94,648,116,80,6
43.005,1786567803.593,-60,-94,576,116,80,6
44.005,1786567804.594,-60,-94,576,116,80,6
45.000,1786567805.590,-60,-94,576,116,80,6
46.003,1786567806.591,-60,-94,576,116,80,6
47.003,1786567807.593,-60,-94,576,116,80,6
48.005,1786567808.593,-60,-94,576,116,80,6
49.002,1786567809.591,-60,-94,576,116,80,6
50.004,1786567810.592,-60,-94,576,116,80,6
51.001,1786567811.590,-60,-94,576,116,80,6
52.004,1786567812.592,-60,-94,576,116,80,6
53.005,1786567813.594,-60,-94,576,116,80,6
54.002,1786567814.590,-60,-94,576,116,80,6
55.005,1786567815.593,-60,-94,576,116,80,6
56.001,1786567816.589,-60,-94,576,116,80,6
57.000,1786567817.589,-60,-94,576,116,80,6
58.005,1786567818.594,-60,-94,432,116,80,6
59.005,1786567819.593,-60,-94,432,116,80,6
60.002,1786567820.591,-60,-94,432,116,80,6
61.000,1786567821.589,-60,-94,432,116,80,6
62.003,1786567822.593,-60,-94,432,116,80,6
63.001,1786567823.590,-60,-94,432,116,80,6
64.004,1786567824.593,-60,-94,432,116,80,6
65.004,1786567825.593,-60,-94,432,116,80,6
66.000,1786567826.589,-60,-94,432,116,80,6
67.004,1786567827.592,-61,-94,432,116,80,6
68.000,1786567828.590,-61,-94,432,116,80,6
69.003,1786567829.591,-61,-94,432,116,80,6
70.002,1786567830.590,-60,-94,432,116,80,6
71.004,1786567831.592,-61,-94,432,116,80,6
72.004,1786567832.593,-61,-94,432,116,80,6
73.005,1786567833.594,-61,-94,288,116,80,6
74.005,1786567834.593,-61,-94,288,116,80,6
75.004,1786567835.594,-61,-94,288,116,80,6
76.005,1786567836.595,-61,-94,288,116,80,6
77.005,1786567837.595,-61,-94,288,116,80,6
