t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
0.000,1786574413.979,-49,-93,1200,36,80,6
1.000,1786574414.981,-48,-93,1200,36,80,6
2.004,1786574415.985,-48,-93,1200,36,80,6
3.001,1786574416.986,-48,-93,1200,36,80,6
4.005,1786574417.985,-48,-93,1200,36,80,6
5.003,1786574418.983,-49,-93,1200,36,80,6
6.002,1786574419.984,-48,-93,1200,36,80,6
7.004,1786574420.985,-49,-93,1200,36,80,6
8.005,1786574421.984,-49,-93,1200,36,80,6
9.002,1786574422.982,-48,-93,1200,36,80,6
10.002,1786574423.983,-48,-93,1200,36,80,6
11.000,1786574424.981,-48,-93,1200,36,80,6
12.003,1786574425.982,-48,-93,1200,36,80,6
13.002,1786574426.982,-48,-93,1200,36,80,6
14.003,1786574427.982,-50,-93,1200,36,80,6
15.002,1786574428.982,-50,-93,1200,36,80,6
16.002,1786574429.982,-50,-93,1200,36,80,6
17.003,1786574430.982,-50,-93,1200,36,80,6
18.002,1786574431.983,-50,-93,1200,36,80,6
19.002,1786574432.981,-50,-93,1200,36,80,6
20.005,1786574433.984,-49,-93,1200,36,80,6
21.000,1786574434.979,-49,-93,1200,36,80,6
22.003,1786574435.982,-49,-93,1200,36,80,6
23.005,1786574436.984,-49,-93,1200,36,80,6
24.002,1786574437.981,-50,-93,1200,36,80,6
25.005,1786574438.984,-50,-93,1200,36,80,6
26.001,1786574439.980,-50,-93,1200,36,80,6
27.002,1786574440.982,-50,-93,1200,36,80,6
28.002,1786574441.982,-50,-93,1200,36,80,6
29.003,1786574442.983,-50,-93,1200,36,80,6
30.000,1786574443.979,-50,-93,1200,36,80,6
31.005,1786574444.984,-50,-93,1200,36,80,6
32.000,1786574445.980,-50,-93,1200,36,80,6
33.005,1786574446.984,-50,-93,1200,36,80,6
34.004,1786574447.983,-50,-93,1200,36,80,6
35.005,1786574448.984,-50,-93,1200,36,80,6
36.005,1786574449.984,-49,-93,1200,36,80,6
37.000,1786574450.980,-50,-93,1200,36,80,6
38.000,1786574451.979,-50,-93,1200,36,80,6
39.005,1786574452.984,-50,-93,1200,36,80,6
40.001,1786574453.980,-50,-93,1200,36,80,6
41.003,1786574454.982,-50,-93,1200,36,80,6
42.002,1786574455.981,-49,-93,1200,36,80,6
43.001,1786574456.981,-48,-93,1200,36,80,6
44.001,1786574457.980,-48,-93,1200,36,80,6
45.002,1786574458.981,-48,-93,1200,36,80,6
46.003,1786574459.982,-48,-93,1200,36,80,6
47.003,1786574460.983,-48,-93,1200,36,80,6
48.003,1786574461.982,-48,-93,1200,36,80,6
49.002,1786574462.981,-49,-93,1200,36,80,6
50.000,1786574463.979,-48,-93,1200,36,80,6
51.001,1786574464.980,-48,-93,1200,36,80,6
52.002,1786574465.981,-48,-93,1200,36,80,6
53.003,1786574466.982,-48,-93,1200,36,80,6
54.002,1786574467.981,-48,-93,1200,36,80,6
55.002,1786574468.980,-48,-93,1200,36,80,6
56.001,1786574469.981,-48,-93,1200,36,80,6
57.005,1786574470.984,-49,-93,1200,36,80,6
58.005,1786574471.985,-49,-93,1200,36,80,6
59.005,1786574472.983,-48,-93,1200,36,80,6
60.000,1786574473.980,-48,-93,1200,36,80,6
61.005,1786574474.985,-48,-93,1200,36,80,6
62.001,1786574475.984,-48,-93,1200,36,80,6
63.005,1786574476.984,-48,-93,1200,36,80,6
64.005,1786574477.984,-48,-93,1200,36,80,6
65.004,1786574478.983,-49,-93,1200,36,80,6
66.005,1786574479.984,-48,-93,1200,36,80,6
67.001,1786574480.981,-48,-93,1200,36,80,6
68.005,1786574481.984,-48,-93,1200,36,80,6
69.002,1786574482.981,-48,-93,1200,36,80,6
70.000,1786574483.980,-48,-93,1200,36,80,6
71.000,1786574484.979,-48,-93,1200,36,80,6
72.001,1786574485.980,-49,-93,1200,36,80,6
73.001,1786574486.982,-48,-93,1200,36,80,6
74.004,1786574487.984,-49,-93,1200,36,80,6
75.005,1786574488.985,-49,-93,1200,36,80,6
76.000,1786574489.980,-48,-93,1200,36,80,6
77.001,1786574490.980,-48,-93,1200,36,80,6
78.001,1786574491.981,-49,-93,1200,36,80,6
