t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
0.000,1786577205.553,-52,-94,1200,36,80,0
1.004,1786577206.559,-51,-94,1200,36,80,0
2.004,1786577207.559,-52,-94,1200,36,80,0
3.000,1786577208.555,-52,-94,1200,36,80,0
4.005,1786577209.560,-51,-94,1200,36,80,0
5.005,1786577210.559,-51,-94,1200,36,80,0
6.003,1786577211.559,-51,-94,1200,36,80,0
7.001,1786577212.556,-51,-94,1200,36,80,0
8.005,1786577213.560,-51,-94,1200,36,80,0
9.005,1786577214.560,-51,-94,1200,36,80,0
10.000,1786577215.555,-51,-94,1200,36,80,0
11.000,1786577216.555,-52,-94,1200,36,80,0
12.000,1786577217.554,-51,-94,1200,36,80,0
13.000,1786577218.555,-51,-94,1200,36,80,0
14.000,1786577219.554,-51,-94,1200,36,80,0
15.002,1786577220.556,-51,-94,1200,36,80,0
16.003,1786577221.558,-51,-94,1200,36,80,0
17.002,1786577222.556,-51,-94,1200,36,80,0
18.001,1786577223.555,-51,-94,1200,36,80,0
19.005,1786577224.560,-51,-94,1200,36,80,0
20.004,1786577225.558,-50,-94,1200,36,80,0
21.000,1786577226.555,-52,-94,1200,36,80,0
22.005,1786577227.560,-51,-94,1200,36,80,0
23.002,1786577228.557,-51,-94,1200,36,80,0
24.004,1786577229.558,-51,-94,1200,36,80,0
25.000,1786577230.555,-51,-94,1200,36,80,0
26.005,1786577231.560,-51,-94,1200,36,80,0
27.000,1786577232.555,-51,-94,1200,36,80,0
28.000,1786577233.555,-51,-94,1200,36,80,0
29.005,1786577234.559,-50,-94,1200,36,80,0
30.000,1786577235.555,-50,-94,1200,36,80,0
31.005,1786577236.559,-50,-94,1200,36,80,0
32.001,1786577237.555,-51,-94,1200,36,80,0
33.004,1786577238.558,-51,-94,1200,36,80,0
34.004,1786577239.559,-51,-94,1200,36,80,0
35.005,1786577240.560,-51,-94,1200,36,80,0
36.000,1786577241.555,-52,-94,1200,36,80,0
37.000,1786577242.555,-53,-94,1200,36,80,0
38.000,1786577243.555,-52,-94,1200,36,80,0
39.004,1786577244.559,-51,-94,1200,36,80,0
40.002,1786577245.556,-50,-94,1080,36,80,0
41.002,1786577246.556,-51,-94,1080,36,80,0
42.000,1786577247.555,-51,-94,1080,36,80,0
43.004,1786577248.558,-51,-94,1080,36,80,0
44.004,1786577249.559,-51,-94,1080,36,80,0
45.005,1786577250.560,-51,-94,1200,36,80,0
46.000,1786577251.554,-51,-94,1200,36,80,0
47.000,1786577252.555,-50,-94,1200,36,80,0
48.004,1786577253.559,-51,-94,1200,36,80,0
49.001,1786577254.556,-51,-94,1200,36,80,0
50.002,1786577255.557,-51,-94,1200,36,80,0
51.005,1786577256.560,-51,-94,1200,36,80,0
52.004,1786577257.559,-50,-94,1200,36,80,0
53.004,1786577258.560,-51,-94,1200,36,80,0
54.003,1786577259.558,-51,-94,1200,36,80,0
55.001,1786577260.556,-51,-94,1080,36,80,0
56.004,1786577261.559,-51,-94,1080,36,80,0
57.000,1786577262.555,-51,-94,1080,36,80,0
58.005,1786577263.560,-50,-94,1080,36,80,0
59.000,1786577264.555,-51,-94,1080,36,80,0
60.005,1786577265.560,-51,-94,1200,36,80,0
61.001,1786577266.556,-50,-94,1200,36,80,0
62.001,1786577267.556,-50,-94,1200,36,80,0
63.000,1786577268.555,-51,-94,1200,36,80,0
64.000,1786577269.555,-51,-94,1200,36,80,0
65.003,1786577270.558,-51,-94,1200,36,80,0
66.001,1786577271.556,-49,-94,1200,36,80,0
67.002,1786577272.557,-51,-94,1200,36,80,0
68.004,1786577273.558,-51,-94,1200,36,80,0
69.003,1786577274.558,-50,-94,1200,36,80,0
70.003,1786577275.558,-51,-94,1080,36,80,0
