t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
0.000,1786568142.204,-45,-95,286,116,80,6
1.005,1786568143.210,-44,-95,286,116,80,6
2.005,1786568144.211,-42,-95,1080,116,80,6
3.002,1786568145.208,-42,-95,1080,116,80,6
4.005,1786568146.211,-41,-95,1080,116,80,6
5.001,1786568147.207,-41,-95,1080,116,80,6
6.002,1786568148.207,-42,-95,1080,116,80,6
7.000,1786568149.204,-42,-95,1200,116,80,6
8.001,1786568150.205,-41,-95,1200,116,80,6
9.001,1786568151.206,-41,-95,1200,116,80,6
10.000,1786568152.205,-42,-95,1200,116,80,6
11.005,1786568153.209,-42,-95,1200,116,80,6
12.000,1786568154.204,-42,-95,1200,116,80,6
13.001,1786568155.206,-42,-95,1200,116,80,6
14.004,1786568156.208,-42,-95,1200,116,80,6
15.000,1786568157.205,-42,-95,1200,116,80,6
16.001,1786568158.205,-42,-95,1200,116,80,6
17.002,1786568159.206,-42,-95,1200,116,80,6
18.001,1786568160.206,-42,-95,1200,116,80,6
19.002,1786568161.206,-42,-95,1200,116,80,6
20.000,1786568162.205,-42,-95,1200,116,80,6
21.000,1786568163.204,-42,-95,1200,116,80,6
22.005,1786568164.210,-42,-95,1200,116,80,6
23.001,1786568165.205,-43,-95,1200,116,80,6
24.000,1786568166.205,-43,-95,1200,116,80,6
25.002,1786568167.207,-42,-95,1200,116,80,6
26.005,1786568168.209,-42,-95,1200,116,80,6
27.000,1786568169.205,-42,-95,1200,116,80,6
28.002,1786568170.206,-42,-95,1200,116,80,6
29.000,1786568171.205,-42,-95,1200,116,80,6
30.001,1786568172.206,-41,-95,1200,116,80,6
31.005,1786568173.210,-42,-95,1200,116,80,6
32.006,1786568174.211,-42,-95,1200,116,80,6
33.000,1786568175.204,-42,-95,1200,116,80,6
34.003,1786568176.207,-42,-95,1200,116,80,6
35.000,1786568177.205,-42,-95,1200,116,80,6
36.005,1786568178.210,-43,-95,1200,116,80,6
37.005,1786568179.210,-42,-95,1200,116,80,6
38.003,1786568180.208,-42,-95,1200,116,80,6
39.000,1786568181.205,-43,-95,1200,116,80,6
40.001,1786568182.205,-43,-95,1200,116,80,6
41.000,1786568183.205,-42,-95,1200,116,80,6
42.001,1786568184.205,-42,-95,1200,116,80,6
43.003,1786568185.208,-42,-95,1200,116,80,6
44.005,1786568186.209,-42,-95,1200,116,80,6
45.002,1786568187.206,-42,-95,1200,116,80,6
46.000,1786568188.205,-42,-95,1200,116,80,6
47.000,1786568189.205,-42,-95,1200,116,80,6
48.004,1786568190.208,-43,-95,1200,116,80,6
49.003,1786568191.207,-42,-95,1200,116,80,6
50.002,1786568192.208,-42,-95,1200,116,80,6
51.005,1786568193.209,-42,-95,1200,116,80,6
52.004,1786568194.210,-42,-95,1200,116,80,6
53.001,1786568195.206,-42,-95,1200,116,80,6
54.000,1786568196.205,-42,-95,1200,116,80,6
55.003,1786568197.207,-42,-95,1200,116,80,6
56.005,1786568198.210,-42,-95,1200,116,80,6
57.004,1786568199.208,-42,-95,1200,116,80,6
58.000,1786568200.205,-42,-95,1200,116,80,6
59.000,1786568201.205,-42,-95,1200,116,80,6
60.002,1786568202.206,-42,-95,1200,116,80,6
61.000,1786568203.205,-42,-95,1200,116,80,6
62.000,1786568204.205,-42,-95,1200,116,80,6
63.000,1786568205.205,-42,-95,1200,116,80,6
64.000,1786568206.205,-42,-95,1200,116,80,6
65.001,1786568207.206,-42,-95,1200,116,80,6
66.002,1786568208.207,-42,-95,1200,116,80,6
67.005,1786568209.210,-41,-95,1200,116,80,6
68.005,1786568210.209,-41,-95,1200,116,80,6
69.000,1786568211.205,-42,-95,1200,116,80,6
70.003,1786568212.208,-42,-95,1200,116,80,6
71.001,1786568213.206,-41,-95,1200,116,80,6
72.000,1786568214.205,-42,-95,1200,116,80,6
73.000,1786568215.205,-42,-95,1200,116,80,6
74.000,1786568216.205,-42,-95,1200,116,80,6
75.005,1786568217.210,-42,-95,1200,116,80,6
76.005,1786568218.209,-42,-95,1200,116,80,6
77.005,1786568219.211,-42,-95,1200,116,80,6
