at_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,cost_ms
1.4125e-05,-68,-94,576.0,36,80,2.986459
1.003003084,-68,-94,576.0,36,80,4.094875
2.00911,-68,-94,576.0,36,80,3.70725
3.012818084,-68,-94,576.0,36,80,4.150833
4.017040917,-68,-94,576.0,36,80,4.053042
5.023105334,-68,-94,576.0,36,80,3.850916
6.028102875,-68,-94,576.0,36,80,3.874917
7.034024959,-68,-94,576.0,36,80,4.199458
8.03822525,-68,-94,576.0,36,80,5.877084
9.044104917,-68,-94,576.0,36,80,4.020708
10.04816825,-68,-94,576.0,36,80,3.961834
11.05414025,-68,-94,576.0,36,80,4.069917
12.060217875,-68,-94,576.0,36,80,4.21325
13.064476334,-68,-94,576.0,36,80,4.13675
14.068614042,-68,-94,648.0,36,80,7.753375
15.078376834,-68,-94,648.0,36,80,4.484583
16.082902584,-67,-94,648.0,36,80,3.939833
17.088853375,-68,-94,648.0,36,80,3.945167
18.094805417,-68,-94,648.0,36,80,3.907833
19.100772,-68,-94,576.0,36,80,4.125834
20.104898584,-68,-94,576.0,36,80,4.1085
21.109008084,-68,-94,576.0,36,80,3.844916
22.112896334,-68,-94,576.0,36,80,4.306875
23.119212959,-68,-94,576.0,36,80,4.195666
24.125417834,-68,-94,567.0,36,80,3.824916
25.129288375,-68,-94,567.0,36,80,4.325667
26.133615209,-68,-94,567.0,36,80,3.959208
27.137575167,-68,-94,567.0,36,80,3.778375
28.141396959,-68,-94,567.0,36,80,4.197458
29.145595417,-68,-94,576.0,36,80,4.038792
30.151645334,-68,-94,576.0,36,80,3.960166
31.155697167,-68,-94,576.0,36,80,4.235542
32.159933375,-68,-94,576.0,36,80,4.322292
33.164257334,-68,-94,576.0,36,80,3.998708
34.168301917,-68,-94,576.0,36,80,4.176875
35.174487625,-68,-94,576.0,36,80,3.671292
36.178160084,-68,-94,576.0,36,80,4.026541
37.182231125,-68,-94,576.0,36,80,4.568709
38.186801,-68,-94,576.0,36,80,4.207917
39.193022334,-68,-94,576.0,36,80,3.895583
40.196961125,-68,-94,576.0,36,80,4.175334
41.201137292,-68,-94,576.0,36,80,4.172792
42.205310917,-68,-94,576.0,36,80,3.560167
43.208908959,-68,-94,576.0,36,80,3.681375
44.212591292,-68,-94,544.0,36,80,3.869125
45.216461209,-68,-94,544.0,36,80,3.459833
46.219964292,-68,-94,544.0,36,80,3.9985
47.225976167,-68,-94,544.0,36,80,4.352625
48.230329459,-68,-94,544.0,36,80,3.7035
49.236084792,-68,-94,576.0,36,80,4.286958
50.242378625,-68,-94,576.0,36,80,4.109959
51.247702625,-68,-94,576.0,36,80,3.901709
52.251648834,-68,-94,576.0,36,80,4.197541
53.257855334,-68,-94,576.0,36,80,3.576416
54.261432875,-68,-94,576.0,36,80,4.058834
