at_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,cost_ms
1.7209e-05,-70,-95,408.0,36,80,8.86975
1.008887875,-71,-95,408.0,36,80,3.939334
2.013262334,-70,-95,408.0,36,80,3.918083
3.019190625,-71,-95,408.0,36,80,4.153709
4.0234005,-71,-95,408.0,36,80,3.477542
5.026879334,-71,-95,408.0,36,80,4.060583
6.032949834,-71,-95,408.0,36,80,4.612583
7.037607375,-71,-95,432.0,36,80,3.833584
8.043448459,-71,-95,432.0,36,80,3.900333
9.048758834,-71,-95,432.0,36,80,4.351458
10.053164667,-71,-95,432.0,36,80,4.061542
11.057227042,-71,-95,432.0,36,80,3.65175
12.060879709,-71,-95,432.0,36,80,3.522416
13.064445875,-71,-95,432.0,36,80,3.859334
14.068305959,-71,-95,432.0,36,80,3.839
15.072146042,-71,-95,432.0,36,80,4.021667
16.076212542,-71,-95,432.0,36,80,4.27775
17.081446584,-70,-94,432.0,36,80,3.932875
18.085380084,-70,-94,432.0,36,80,4.223416
19.090475459,-70,-94,432.0,36,80,3.911166
20.096400125,-71,-94,432.0,36,80,3.718542
21.100119375,-71,-94,432.0,36,80,3.835209
22.104000292,-71,-94,432.0,36,80,4.259625
23.110271084,-71,-94,432.0,36,80,3.397541
24.113669542,-71,-94,432.0,36,80,3.984042
25.117710042,-70,-94,432.0,36,80,3.8465
26.121557417,-71,-94,432.0,36,80,3.874292
27.125432459,-70,-94,432.0,36,80,3.968708
28.130823917,-70,-94,432.0,36,80,3.802375
29.134626834,-71,-94,432.0,36,80,3.769375
30.138396917,-70,-94,432.0,36,80,3.943625
31.142581375,-70,-94,432.0,36,80,3.924875
32.147790375,-70,-94,432.0,36,80,3.804084
33.151596,-71,-94,432.0,36,80,3.86025
34.155505375,-71,-94,432.0,36,80,3.853667
35.159359959,-70,-94,432.0,36,80,3.50775
36.162868375,-70,-94,432.0,36,80,3.958334
37.166868542,-71,-94,432.0,36,80,3.950292
38.170819667,-71,-94,432.0,36,80,4.099583
39.174920084,-71,-94,432.0,36,80,4.01175
40.180986667,-70,-94,432.0,36,80,3.976583
41.185995292,-70,-94,432.0,36,80,3.767375
42.191772875,-70,-94,576.0,36,80,3.88275
43.195698875,-70,-94,576.0,36,80,3.651542
44.199351084,-70,-94,576.0,36,80,3.905541
45.20325725,-70,-94,576.0,36,80,3.991709
46.207294959,-70,-94,576.0,36,80,3.390791
47.210686292,-70,-94,408.0,36,80,4.131083
