at_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,cost_ms
1.625e-05,-69,-94,432.0,36,80,3.078541
1.00510975,-70,-94,432.0,36,80,4.288166
2.00940075,-68,-94,432.0,36,80,3.752083
3.013153583,-70,-94,432.0,36,80,4.065167
4.017279958,-70,-94,432.0,36,80,3.498083
5.020779375,-70,-94,432.0,36,80,4.168041
6.024948166,-69,-94,408.0,36,80,3.953042
7.028947458,-69,-94,408.0,36,80,3.86675
8.032814708,-70,-94,408.0,36,80,3.759167
9.038463541,-70,-94,408.0,36,80,3.338542
10.041848041,-70,-94,408.0,36,80,4.06125
11.045910375,-71,-94,576.0,36,80,4.008708
12.050769291,-71,-94,576.0,36,80,3.789709
13.056616916,-71,-94,576.0,36,80,4.063417
14.062687375,-71,-94,576.0,36,80,3.863541
15.06856025,-70,-94,576.0,36,80,3.741291
16.074163583,-70,-94,432.0,36,80,5.744417
17.081438666,-70,-94,432.0,36,80,3.814709
18.086051333,-70,-94,432.0,36,80,4.084167
19.090180041,-71,-94,432.0,36,80,3.895959
20.096086958,-71,-94,432.0,36,80,4.06025
21.102154666,-69,-94,576.0,36,80,3.839417
22.106037625,-70,-94,576.0,36,80,3.50675
23.109544875,-70,-94,576.0,36,80,3.749958
24.113295416,-70,-94,576.0,36,80,3.698209
25.117031791,-71,-94,576.0,36,80,4.073917
26.121106291,-70,-94,576.0,36,80,3.981292
27.125088125,-70,-94,576.0,36,80,3.322958
28.128450833,-70,-94,576.0,36,80,3.97425
29.132426083,-70,-94,576.0,36,80,3.719125
30.136145541,-70,-94,576.0,36,80,3.942625
31.140183166,-70,-94,612.0,36,80,3.954917
32.145298541,-69,-94,612.0,36,80,3.865084
33.149164875,-70,-94,612.0,36,80,4.04075
34.153246666,-70,-94,612.0,36,80,3.877375
35.159134958,-68,-94,612.0,36,80,3.674667
36.164273208,-70,-94,576.0,36,80,3.878875
37.170203916,-70,-94,576.0,36,80,3.866292
38.174070791,-69,-94,576.0,36,80,5.327792
39.180958208,-70,-94,576.0,36,80,3.761833
40.185647166,-69,-94,576.0,36,80,4.000292
41.189648333,-69,-94,576.0,36,80,3.931458
42.1935805,-69,-94,576.0,36,80,3.937416
43.197563458,-69,-94,576.0,36,80,3.815208
44.201379375,-69,-94,576.0,36,80,3.738916
45.205118958,-69,-94,576.0,36,80,3.598458
46.210773,-69,-94,544.0,36,80,7.457166
47.218230916,-69,-94,544.0,36,80,4.078292
48.22231,-69,-94,544.0,36,80,3.682958
49.228055583,-69,-94,544.0,36,80,3.868333
50.231924458,-70,-94,544.0,36,80,3.720417
51.235645583,-70,-94,432.0,36,80,3.871583
52.239561791,-70,-94,432.0,36,80,3.885292
53.243447541,-70,-94,432.0,36,80,4.067584
54.249529208,-70,-94,432.0,36,80,3.809542
55.253382458,-70,-94,432.0,36,80,3.531375
56.258495833,-69,-94,432.0,36,80,3.847417
57.262344125,-70,-94,432.0,36,80,3.989958
58.26637925,-70,-94,432.0,36,80,4.032083
59.270412166,-70,-94,432.0,36,80,4.060917
60.274473708,-70,-94,432.0,36,80,4.352667
61.278920125,-69,-94,408.0,36,80,3.981583
62.284441375,-70,-94,408.0,36,80,3.786916
63.288228958,-70,-94,408.0,36,80,4.06425
64.292337625,-70,-94,408.0,36,80,3.942166
65.296281708,-70,-94,408.0,36,80,4.268458
66.300551083,-69,-94,576.0,36,80,3.82375
67.30441575,-71,-94,576.0,36,80,4.027708
68.30844425,-70,-94,576.0,36,80,3.72525
69.313988166,-71,-94,576.0,36,80,3.790334
70.319831625,-71,-94,576.0,36,80,3.371958
71.323204541,-71,-94,576.0,36,80,3.423042
72.326628208,-70,-94,576.0,36,80,4.103208
73.330772375,-70,-94,576.0,36,80,4.045541
74.334818625,-70,-94,576.0,36,80,3.642958
75.339719666,-70,-94,576.0,36,80,3.886667
76.345656958,-70,-94,544.0,36,80,4.152917
77.351271125,-70,-94,544.0,36,80,4.483875
78.357768333,-70,-94,544.0,36,80,3.842167
79.361659083,-70,-94,544.0,36,80,3.771208
80.367438708,-70,-94,544.0,36,80,4.0925
81.37153225,-70,-94,576.0,36,80,3.780458
82.375354083,-70,-94,576.0,36,80,3.883583
83.379238291,-69,-94,576.0,36,80,4.035417
84.383274291,-70,-94,576.0,36,80,3.956459
85.388711166,-70,-94,576.0,36,80,4.053167
86.394772791,-70,-94,576.0,36,80,4.124167
87.400911791,-70,-94,576.0,36,80,3.640917
88.404600041,-70,-94,576.0,36,80,3.809834
89.408410541,-70,-94,576.0,36,80,4.143292
90.413390958,-71,-94,576.0,36,80,3.754208
91.418665166,-70,-94,432.0,36,80,4.016834
92.424136125,-70,-94,432.0,36,80,3.961083
93.428098083,-70,-94,432.0,36,80,4.279583
94.434231625,-70,-94,432.0,36,80,3.712125
95.437944541,-71,-94,432.0,36,80,3.934125
96.44187925,-70,-94,432.0,36,80,3.9525
97.44587375,-70,-94,432.0,36,80,4.200333
98.450074958,-70,-94,432.0,36,80,4.002083
99.454602625,-70,-94,432.0,36,80,4.384583
100.459039708,-71,-94,432.0,36,80,4.178375
101.463218833,-71,-94,432.0,36,80,3.68825
102.466907875,-70,-94,432.0,36,80,4.461083
103.471417833,-71,-94,432.0,36,80,4.553708
104.475972333,-70,-94,432.0,36,80,4.279792
105.480252958,-70,-94,432.0,36,80,4.168458
106.484461166,-70,-94,432.0,36,80,3.979542
107.490447166,-70,-94,432.0,36,80,3.842959
108.494290791,-70,-94,432.0,36,80,3.978084
109.500320083,-70,-94,432.0,36,80,3.899125
110.504219958,-70,-94,432.0,36,80,3.601625
111.509832375,-70,-94,432.0,36,80,3.379916
112.513259125,-70,-94,432.0,36,80,3.776083
113.517036,-70,-94,432.0,36,80,3.968833
114.521005375,-71,-94,432.0,36,80,3.861666
115.524914083,-71,-94,432.0,36,80,3.755792
116.528671083,-71,-94,432.0,36,80,3.757375
117.532429291,-70,-94,432.0,36,80,4.127375
118.536600083,-70,-94,432.0,36,80,3.936125
119.541279708,-70,-94,432.0,36,80,3.980833
