at_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,cost_ms
1.6167e-05,-68,-94,576.0,36,80,3.332958
1.004269209,-69,-94,576.0,36,80,4.257541
2.009513459,-69,-94,576.0,36,80,3.679916
3.013193917,-68,-94,648.0,36,80,4.064458
4.017311959,-68,-94,648.0,36,80,4.1385
5.021451792,-69,-94,648.0,36,80,3.790625
6.025243042,-69,-94,648.0,36,80,3.803875
7.029098667,-69,-94,648.0,36,80,3.962125
8.033061542,-69,-94,576.0,36,80,3.208625
9.036271292,-68,-94,576.0,36,80,4.172458
10.040480542,-68,-94,576.0,36,80,4.1295
11.044610709,-68,-94,576.0,36,80,4.038541
12.048650084,-68,-94,576.0,36,80,3.662125
13.052360459,-68,-94,648.0,36,80,3.623375
14.057148,-68,-94,648.0,36,80,7.516209
15.064682334,-69,-94,648.0,36,80,3.72675
16.068452375,-68,-94,648.0,36,80,3.543875
17.071997584,-69,-94,648.0,36,80,3.847041
18.075845459,-68,-94,544.0,36,80,4.02575
19.079907959,-68,-94,544.0,36,80,3.537208
20.0835635,-68,-94,544.0,36,80,3.849209
21.087413292,-69,-94,544.0,36,80,3.89325
22.09134625,-69,-94,544.0,36,80,3.591292
23.094938084,-68,-94,576.0,36,80,4.135791
24.099074667,-68,-94,576.0,36,80,3.619208
25.103462875,-69,-94,576.0,36,80,4.055792
26.107519042,-68,-94,576.0,36,80,3.822333
27.111342167,-69,-94,576.0,36,80,3.915042
28.115296584,-68,-94,576.0,36,80,3.641208
29.118938792,-68,-94,576.0,36,80,3.728083
30.122667459,-69,-94,576.0,36,80,7.120375
31.129884167,-68,-94,576.0,36,80,3.169708
32.134915125,-69,-94,576.0,36,80,3.907334
33.1388245,-68,-94,576.0,36,80,3.891875
34.142758209,-68,-94,576.0,36,80,3.389625
35.1461535,-69,-94,576.0,36,80,3.588
36.15175175,-68,-94,576.0,36,80,3.920417
37.155712334,-69,-94,576.0,36,80,3.94025
38.159653125,-69,-94,576.0,36,80,3.728459
39.165395,-68,-94,576.0,36,80,3.943542
40.169381334,-68,-94,576.0,36,80,3.931791
41.174755709,-68,-94,576.0,36,80,4.190875
42.17894775,-69,-94,576.0,36,80,3.992167
43.182983209,-69,-94,576.0,36,80,3.98225
44.188094584,-69,-94,576.0,36,80,3.61575
45.193727459,-68,-94,576.0,36,80,3.808625
46.197579042,-68,-94,576.0,36,80,3.884417
47.203472375,-69,-94,576.0,36,80,4.009292
48.207482292,-68,-94,576.0,36,80,3.828875
49.211352334,-70,-94,576.0,36,80,4.104875
50.216884625,-71,-94,576.0,36,80,3.985334
51.222329334,-68,-94,576.0,36,80,3.665291
52.226044625,-69,-94,576.0,36,80,3.733417
53.229778875,-69,-94,612.0,36,80,3.887084
54.23567225,-68,-94,612.0,36,80,4.062042
55.239772834,-68,-94,612.0,36,80,3.854208
56.2454835,-69,-94,612.0,36,80,4.165584
57.249649917,-68,-94,612.0,36,80,3.975417
58.254543542,-70,-94,612.0,36,80,4.289167
59.259500375,-68,-94,612.0,36,80,4.053875
60.263554959,-68,-94,612.0,36,80,3.804583
61.269456,-70,-94,612.0,36,80,3.84475
62.273301292,-69,-94,612.0,36,80,3.793292
63.2773965,-67,-94,576.0,36,80,3.933042
64.281367709,-69,-94,576.0,36,80,2.929708
65.286116834,-68,-94,576.0,36,80,3.747708
66.290248667,-69,-94,576.0,36,80,3.897708
67.29418975,-71,-94,576.0,36,80,3.88125
68.298072,-70,-94,567.0,36,80,3.82675
69.303908084,-69,-94,567.0,36,80,3.974958
70.309121125,-68,-94,567.0,36,80,3.543709
71.312665584,-69,-94,567.0,36,80,4.116458
72.31678275,-69,-94,567.0,36,80,4.103959
73.322941834,-69,-94,576.0,36,80,4.157291
74.327099834,-72,-94,576.0,36,80,3.828083
75.330928584,-70,-94,576.0,36,80,3.714583
76.336711042,-70,-94,576.0,36,80,4.162292
77.34087375,-69,-94,576.0,36,80,3.366584
78.344240959,-69,-94,612.0,36,80,4.246416
79.348525042,-68,-94,612.0,36,80,3.5275
80.352053542,-70,-94,612.0,36,80,3.851
81.355905167,-71,-94,612.0,36,80,4.101583
82.360049959,-70,-94,612.0,36,80,3.799541
83.363850334,-70,-94,432.0,36,80,3.6835
84.36835825,-69,-94,432.0,36,80,3.887459
85.37233325,-68,-94,432.0,36,80,4.055625
86.37638975,-68,-94,432.0,36,80,3.88575
87.380552375,-68,-94,432.0,36,80,3.834417
88.384429084,-68,-94,648.0,36,80,3.808291
89.388238209,-69,-94,648.0,36,80,3.628625
90.391867584,-69,-94,648.0,36,80,3.749583
91.395704334,-68,-94,648.0,36,80,4.086166
92.399791292,-69,-94,648.0,36,80,3.939708
93.403731875,-69,-94,648.0,36,80,3.905584
94.407676209,-68,-94,648.0,36,80,3.741916
95.41141875,-68,-94,648.0,36,80,3.705375
96.415124959,-68,-94,648.0,36,80,3.600125
97.4187665,-68,-94,648.0,36,80,3.974334
98.422741334,-69,-94,648.0,36,80,3.686208
99.426428292,-69,-94,648.0,36,80,3.41925
100.42989525,-69,-94,648.0,36,80,3.797667
101.433694125,-71,-94,648.0,36,80,3.79875
102.43749375,-71,-94,648.0,36,80,3.690292
103.441226834,-70,-94,576.0,36,80,4.075041
104.445302334,-70,-94,576.0,36,80,3.774625
105.449077625,-70,-94,576.0,36,80,3.917709
106.453036625,-69,-94,576.0,36,80,3.666375
107.456703875,-69,-94,576.0,36,80,3.735542
108.460440084,-70,-94,432.0,36,80,4.010166
109.464794792,-70,-94,432.0,36,80,3.725333
110.468520875,-70,-94,432.0,36,80,4.456125
111.472977709,-70,-94,432.0,36,80,4.271625
112.477295959,-66,-94,432.0,36,80,3.853875
113.482614584,-68,-94,648.0,36,80,4.443
114.487058667,-70,-94,648.0,36,80,3.971083
115.491076625,-70,-94,648.0,36,80,3.657709
116.494734875,-69,-94,648.0,36,80,3.839042
117.498574667,-69,-94,648.0,36,80,3.828417
118.502805917,-71,-94,576.0,36,80,7.618708
119.510425334,-71,-94,576.0,36,80,3.827333
