arm,side,t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
off,before,0.000,1787224492.673,-70,-95,544,36,80,0
off,before,1.005,1787224493.679,-70,-95,576,36,80,0
off,before,2.005,1787224494.679,-70,-95,576,36,80,0
off,before,3.005,1787224495.679,-71,-95,576,36,80,0
off,before,4.003,1787224496.676,-70,-95,576,36,80,0
off,after,0.000,1787224607.645,-71,-93,432,36,80,0
off,after,1.002,1787224608.647,-71,-95,432,36,80,0
off,after,2.005,1787224609.650,-71,-95,432,36,80,0
off,after,3.005,1787224610.651,-71,-95,432,36,80,0
off,after,4.005,1787224611.650,-70,-95,432,36,80,0
on,before,0.000,1787224612.659,-71,-95,432,36,80,0
on,before,1.005,1787224613.664,-72,-95,544,36,80,0
on,before,2.003,1787224614.663,-71,-95,544,36,80,0
on,before,3.003,1787224615.663,-71,-95,544,36,80,0
on,before,4.002,1787224616.663,-71,-95,544,36,80,0
on,after,0.000,1787224727.937,-73,-94,432,36,80,0
on,after,1.005,1787224728.942,-72,-94,432,36,80,0
on,after,2.002,1787224729.940,-72,-94,432,36,80,0
on,after,3.000,1787224730.938,-73,-94,432,36,80,0
on,after,4.000,1787224731.938,-71,-94,432,36,80,0
expensive,before,0.000,1787224732.951,-71,-94,432,36,80,0
expensive,before,1.002,1787224733.956,-72,-94,432,36,80,0
expensive,before,2.002,1787224734.955,-71,-94,432,36,80,0
expensive,before,3.000,1787224735.958,-71,-94,432,36,80,0
expensive,before,4.001,1787224736.953,-71,-94,432,36,80,0
expensive,after,0.000,1787224849.535,-70,-95,408,36,80,0
expensive,after,1.001,1787224850.538,-70,-95,408,36,80,0
expensive,after,2.005,1787224851.541,-71,-95,408,36,80,0
expensive,after,3.000,1787224852.537,-70,-95,408,36,80,0
expensive,after,4.002,1787224853.538,-70,-95,408,36,80,0
on,before,0.000,1787224854.555,-70,-95,432,36,80,0
on,before,1.002,1787224855.557,-71,-95,432,36,80,0
on,before,2.003,1787224856.558,-70,-95,432,36,80,0
on,before,3.000,1787224857.556,-70,-95,432,36,80,0
on,before,4.005,1787224858.560,-70,-95,432,36,80,0
on,after,0.000,1787224968.621,-70,-94,576,36,80,0
on,after,1.004,1787224969.626,-70,-94,576,36,80,0
on,after,2.003,1787224970.625,-70,-94,432,36,80,0
on,after,3.005,1787224971.626,-70,-94,432,36,80,0
on,after,4.005,1787224972.626,-70,-94,432,36,80,0
expensive,before,0.000,1787224973.636,-69,-94,432,36,80,0
expensive,before,1.004,1787224974.641,-69,-94,432,36,80,0
expensive,before,2.002,1787224975.639,-69,-94,408,36,80,0
expensive,before,3.002,1787224976.639,-70,-94,408,36,80,0
expensive,before,4.001,1787224977.638,-71,-94,408,36,80,0
