arm,side,t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,radar_band
off,before,0.000,1787227179.151,-73,-95,576,36,80,0
off,before,1.001,1787227180.153,-71,-95,576,36,80,0
off,before,2.005,1787227181.157,-71,-95,576,36,80,0
off,before,3.003,1787227182.155,-71,-95,612,36,80,0
off,before,4.002,1787227183.154,-73,-95,612,36,80,0
off,after,0.000,1787227285.366,-71,-95,408,36,80,0
off,after,1.002,1787227286.369,-71,-95,408,36,80,0
off,after,2.005,1787227287.372,-72,-95,432,36,80,0
off,after,3.005,1787227288.372,-72,-95,432,36,80,0
off,after,4.005,1787227289.373,-71,-95,432,36,80,0
on,before,0.000,1787227290.381,-71,-95,432,36,80,0
on,before,1.004,1787227291.387,-72,-95,432,36,80,0
on,before,2.003,1787227292.386,-72,-95,432,36,80,0
on,before,3.005,1787227293.388,-71,-95,432,36,80,0
on,before,4.002,1787227294.385,-71,-95,432,36,80,0
on,after,0.000,1787227396.589,-72,-93,432,36,80,0
on,after,1.005,1787227397.596,-72,-93,408,36,80,0
on,after,2.005,1787227398.596,-72,-93,408,36,80,0
on,after,3.005,1787227399.595,-72,-93,408,36,80,0
on,after,4.005,1787227400.596,-72,-93,408,36,80,0
expensive,before,0.000,1787227401.607,-72,-93,408,36,80,0
expensive,before,1.000,1787227402.609,-72,-93,544,36,80,0
expensive,before,2.000,1787227403.609,-72,-93,544,36,80,0
expensive,before,3.005,1787227404.614,-72,-93,544,36,80,0
expensive,before,4.002,1787227405.610,-72,-93,544,36,80,0
expensive,after,0.000,1787227507.433,-72,-95,408,36,80,0
expensive,after,1.004,1787227508.438,-72,-95,432,36,80,0
expensive,after,2.005,1787227509.439,-73,-95,432,36,80,0
expensive,after,3.001,1787227510.435,-72,-95,432,36,80,0
expensive,after,4.005,1787227511.439,-72,-95,432,36,80,0
contend,before,0.000,1787227512.451,-72,-95,432,36,80,0
contend,before,1.004,1787227513.456,-73,-95,576,36,80,0
contend,before,2.004,1787227514.457,-73,-95,576,36,80,0
