t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
0.000,1786571055.903,-46,-95,1080,116,80,6
1.001,1786571056.903,-46,-95,1080,116,80,6
2.001,1786571057.905,-46,-95,1080,116,80,6
3.005,1786571058.909,-46,-95,1080,116,80,6
4.001,1786571059.904,-45,-95,1080,116,80,6
5.003,1786571060.908,-46,-95,1080,116,80,6
6.004,1786571061.909,-46,-95,1080,116,80,6
7.002,1786571062.905,-47,-95,1080,116,80,6
8.002,1786571063.905,-47,-95,1080,116,80,6
9.005,1786571064.909,-45,-95,1080,116,80,6
10.001,1786571065.904,-45,-95,1080,116,80,6
11.002,1786571066.905,-46,-95,1080,116,80,6
12.002,1786571067.905,-46,-95,1080,116,80,6
13.001,1786571068.903,-47,-95,1080,116,80,6
14.002,1786571069.905,-47,-95,1080,116,80,6
15.005,1786571070.908,-47,-95,1080,116,80,6
16.000,1786571071.903,-47,-95,1080,116,80,6
17.000,1786571072.903,-45,-95,1080,116,80,6
18.002,1786571073.905,-47,-95,960,116,80,6
19.002,1786571074.905,-47,-95,960,116,80,6
20.000,1786571075.904,-46,-95,960,116,80,6
21.000,1786571076.903,-46,-95,960,116,80,6
22.002,1786571077.905,-47,-95,960,116,80,6
23.003,1786571078.907,-47,-95,1080,116,80,6
24.002,1786571079.905,-47,-95,1080,116,80,6
25.004,1786571080.906,-47,-95,1080,116,80,6
26.003,1786571081.905,-47,-95,1080,116,80,6
27.001,1786571082.904,-47,-95,1080,116,80,6
28.000,1786571083.904,-46,-95,1080,116,80,6
29.005,1786571084.908,-46,-95,1080,116,80,6
30.005,1786571085.907,-47,-95,1080,116,80,6
31.001,1786571086.904,-47,-95,1080,116,80,6
32.002,1786571087.905,-47,-95,1080,116,80,6
33.002,1786571088.905,-45,-95,960,116,80,6
34.003,1786571089.906,-46,-95,960,116,80,6
35.002,1786571090.905,-47,-95,960,116,80,6
36.002,1786571091.904,-47,-95,960,116,80,6
