t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
0.000,1786570913.695,-43,-95,286,116,80,6
1.005,1786570914.700,-42,-95,286,116,80,6
2.005,1786570915.700,-43,-95,286,116,80,6
3.005,1786570916.701,-41,-95,286,116,80,6
4.005,1786570917.701,-41,-95,286,116,80,6
5.005,1786570918.699,-41,-95,286,116,80,6
6.000,1786570919.696,-42,-95,286,116,80,6
7.003,1786570920.698,-42,-95,286,116,80,6
8.001,1786570921.696,-41,-95,286,116,80,6
9.005,1786570922.700,-40,-95,286,116,80,6
10.005,1786570923.701,-41,-95,286,116,80,6
11.004,1786570924.699,-42,-95,286,116,80,6
12.005,1786570925.700,-41,-95,286,116,80,6
13.000,1786570926.695,-41,-95,286,116,80,6
14.005,1786570927.700,-41,-95,1200,116,80,6
15.001,1786570928.696,-42,-95,1200,116,80,6
16.000,1786570929.695,-42,-95,1200,116,80,6
17.000,1786570930.695,-41,-95,1200,116,80,6
18.001,1786570931.695,-42,-95,1200,116,80,6
19.000,1786570932.696,-42,-95,1200,116,80,6
20.004,1786570933.698,-42,-95,1200,116,80,6
21.003,1786570934.698,-41,-95,1200,116,80,6
22.005,1786570935.700,-41,-95,1200,116,80,6
23.001,1786570936.696,-42,-95,1200,116,80,6
24.002,1786570937.697,-42,-95,1200,116,80,6
25.000,1786570938.695,-42,-95,1200,116,80,6
26.002,1786570939.697,-42,-95,1200,116,80,6
27.005,1786570940.704,-42,-95,1200,116,80,6
28.004,1786570941.700,-42,-95,1200,116,80,6
29.002,1786570942.697,-42,-95,1200,116,80,6
30.000,1786570943.695,-42,-95,1200,116,80,6
31.002,1786570944.696,-42,-95,1200,116,80,6
32.002,1786570945.697,-42,-95,1200,116,80,6
33.001,1786570946.695,-42,-95,1200,116,80,6
34.000,1786570947.695,-41,-95,1200,116,80,6
35.005,1786570948.700,-41,-95,1200,116,80,6
36.000,1786570949.696,-42,-95,1200,116,80,6
37.004,1786570950.699,-42,-95,1200,116,80,6
38.000,1786570951.695,-44,-95,1200,116,80,6
39.000,1786570952.695,-44,-95,1200,116,80,6
40.001,1786570953.697,-44,-95,1200,116,80,6
41.005,1786570954.700,-45,-95,1200,116,80,6
42.002,1786570955.698,-46,-95,1200,116,80,6
43.002,1786570956.697,-45,-95,1200,116,80,6
44.005,1786570957.700,-46,-95,1200,116,80,6
45.001,1786570958.696,-47,-95,960,116,80,6
46.000,1786570959.696,-47,-95,960,116,80,6
47.002,1786570960.697,-47,-95,960,116,80,6
48.002,1786570961.696,-46,-95,960,116,80,6
49.001,1786570962.695,-47,-95,960,116,80,6
50.002,1786570963.697,-47,-95,1080,116,80,6
51.000,1786570964.695,-47,-95,1080,116,80,6
52.004,1786570965.699,-46,-95,1080,116,80,6
53.002,1786570966.698,-47,-95,1080,116,80,6
54.000,1786570967.695,-47,-95,1080,116,80,6
55.002,1786570968.697,-46,-95,1080,116,80,6
56.002,1786570969.698,-46,-95,1080,116,80,6
57.001,1786570970.696,-47,-95,1080,116,80,6
58.002,1786570971.697,-47,-95,1080,116,80,6
59.001,1786570972.696,-46,-95,1080,116,80,6
60.003,1786570973.698,-45,-95,960,116,80,6
61.003,1786570974.698,-46,-95,960,116,80,6
62.001,1786570975.696,-47,-95,960,116,80,6
63.001,1786570976.696,-47,-95,960,116,80,6
64.005,1786570977.700,-46,-95,960,116,80,6
65.001,1786570978.696,-47,-95,1080,116,80,6
66.004,1786570979.699,-47,-95,1080,116,80,6
67.002,1786570980.697,-47,-95,1080,116,80,6
68.004,1786570981.700,-47,-95,1080,116,80,6
69.003,1786570982.697,-47,-95,1080,116,80,6
70.001,1786570983.696,-46,-95,1020,116,80,6
71.004,1786570984.699,-46,-95,1020,116,80,6
72.005,1786570985.701,-47,-95,1020,116,80,6
73.005,1786570986.700,-46,-95,1020,116,80,6
74.005,1786570987.701,-46,-95,1020,116,80,6
75.002,1786570988.697,-46,-95,1080,116,80,6
76.003,1786570989.698,-46,-95,1080,116,80,6
77.000,1786570990.696,-46,-95,1080,116,80,6
78.003,1786570991.698,-46,-95,1080,116,80,6
79.003,1786570992.699,-46,-95,1080,116,80,6
80.004,1786570993.699,-47,-95,1200,116,80,6
81.005,1786570994.701,-47,-95,1200,116,80,6
82.005,1786570995.700,-47,-95,1200,116,80,6
83.000,1786570996.696,-47,-95,1200,116,80,6
84.000,1786570997.695,-47,-95,1200,116,80,6
85.002,1786570998.697,-46,-95,1080,116,80,6
86.000,1786570999.695,-46,-95,1080,116,80,6
87.005,1786571000.700,-47,-95,1080,116,80,6
88.005,1786571001.700,-47,-95,1080,116,80,6
89.005,1786571002.700,-47,-95,1080,116,80,6
90.002,1786571003.697,-47,-95,960,116,80,6
91.001,1786571004.697,-47,-95,960,116,80,6
92.005,1786571005.700,-47,-95,960,116,80,6
93.003,1786571006.699,-47,-95,960,116,80,6
94.005,1786571007.700,-46,-95,960,116,80,6
95.005,1786571008.700,-46,-95,1080,116,80,6
96.005,1786571009.700,-47,-95,1080,116,80,6
97.002,1786571010.697,-47,-95,1080,116,80,6
98.001,1786571011.697,-47,-95,1080,116,80,6
99.005,1786571012.700,-45,-95,1080,116,80,6
100.002,1786571013.697,-47,-95,1080,116,80,6
101.002,1786571014.697,-47,-95,1080,116,80,6
102.002,1786571015.700,-47,-95,1080,116,80,6
103.005,1786571016.700,-47,-95,1080,116,80,6
104.000,1786571017.696,-47,-95,1080,116,80,6
105.005,1786571018.700,-47,-95,1080,116,80,6
106.000,1786571019.696,-47,-95,1080,116,80,6
107.002,1786571020.697,-46,-95,1080,116,80,6
108.002,1786571021.696,-47,-95,1080,116,80,6
109.002,1786571022.697,-47,-95,1080,116,80,6
110.001,1786571023.696,-46,-95,960,116,80,6
111.002,1786571024.698,-46,-95,960,116,80,6
112.002,1786571025.697,-46,-95,960,116,80,6
113.002,1786571026.697,-47,-95,960,116,80,6
114.003,1786571027.698,-46,-95,960,116,80,6
115.002,1786571028.697,-46,-95,1020,116,80,6
116.005,1786571029.700,-46,-95,1020,116,80,6
117.005,1786571030.700,-47,-95,1020,116,80,6
118.005,1786571031.699,-47,-95,1020,116,80,6
119.002,1786571032.697,-47,-95,1020,116,80,6
120.005,1786571033.700,-47,-95,1080,116,80,6
121.005,1786571034.700,-47,-95,1080,116,80,6
122.005,1786571035.700,-47,-95,1080,116,80,6
123.005,1786571036.701,-46,-95,1080,116,80,6
124.005,1786571037.700,-46,-95,1080,116,80,6
125.000,1786571038.696,-46,-95,1080,116,80,6
126.005,1786571039.701,-47,-95,1080,116,80,6
127.005,1786571040.700,-47,-95,1080,116,80,6
128.005,1786571041.701,-47,-95,1080,116,80,6
129.001,1786571042.697,-46,-95,1080,116,80,6
130.005,1786571043.701,-46,-95,1020,116,80,6
131.005,1786571044.700,-45,-95,1020,116,80,6
132.001,1786571045.698,-46,-95,1020,116,80,6
133.004,1786571046.699,-45,-95,1020,116,80,6
134.005,1786571047.700,-46,-95,1020,116,80,6
135.005,1786571048.700,-46,-95,1080,116,80,6
136.001,1786571049.698,-46,-95,1080,116,80,6
137.005,1786571050.700,-46,-95,1080,116,80,6
