t_s,unix_s,rssi_dbm,noise_dbm,tx_rate_mbps,channel,width_mhz,phy_mode
0.000,1786571203.999,-48,-95,1020,116,80,6
1.005,1786571205.006,-48,-95,1020,116,80,6
2.005,1786571206.006,-49,-95,1020,116,80,6
3.001,1786571207.002,-49,-95,1020,116,80,6
4.005,1786571208.006,-49,-95,1020,116,80,6
5.005,1786571209.005,-49,-95,1080,116,80,6
6.003,1786571210.003,-48,-95,1080,116,80,6
7.005,1786571211.006,-47,-95,1080,116,80,6
8.005,1786571212.006,-48,-95,1080,116,80,6
9.005,1786571213.006,-49,-95,1080,116,80,6
10.005,1786571214.006,-49,-95,1020,116,80,6
11.004,1786571215.003,-48,-95,1020,116,80,6
12.000,1786571216.000,-48,-95,1020,116,80,6
13.004,1786571217.004,-48,-95,1020,116,80,6
14.000,1786571218.000,-48,-95,1020,116,80,6
15.000,1786571219.000,-47,-95,1080,116,80,6
16.003,1786571220.003,-47,-95,1080,116,80,6
17.003,1786571221.003,-48,-95,1080,116,80,6
18.003,1786571222.003,-47,-95,1080,116,80,6
19.004,1786571223.004,-48,-95,1080,116,80,6
20.000,1786571224.000,-48,-95,960,116,80,6
21.004,1786571225.004,-48,-95,960,116,80,6
22.003,1786571226.003,-48,-95,960,116,80,6
23.000,1786571227.001,-48,-95,960,116,80,6
24.000,1786571228.000,-48,-95,960,116,80,6
25.003,1786571229.004,-48,-95,1020,116,80,6
26.005,1786571230.005,-48,-95,1020,116,80,6
27.002,1786571231.002,-49,-95,1020,116,80,6
28.005,1786571232.005,-47,-95,1020,116,80,6
29.002,1786571233.002,-47,-95,1020,116,80,6
30.000,1786571234.000,-48,-95,1080,116,80,6
31.005,1786571235.005,-48,-95,1080,116,80,6
32.004,1786571236.003,-46,-95,1080,116,80,6
33.004,1786571237.003,-47,-95,1080,116,80,6
34.004,1786571238.003,-47,-95,1080,116,80,6
35.004,1786571239.004,-47,-95,1080,116,80,6
36.005,1786571240.005,-47,-95,1080,116,80,6
37.005,1786571241.005,-47,-95,1080,116,80,6
38.005,1786571242.005,-47,-95,1080,116,80,6
39.003,1786571243.003,-47,-95,1080,116,80,6
40.003,1786571244.003,-47,-95,1080,116,80,6
41.002,1786571245.002,-47,-95,1080,116,80,6
42.003,1786571246.004,-47,-95,1080,116,80,6
43.002,1786571247.002,-47,-95,1080,116,80,6
44.000,1786571248.000,-47,-95,1080,116,80,6
45.000,1786571249.000,-47,-95,960,116,80,6
46.001,1786571250.002,-47,-95,960,116,80,6
47.000,1786571251.000,-47,-95,960,116,80,6
48.000,1786571252.003,-47,-95,960,116,80,6
49.003,1786571253.003,-47,-95,960,116,80,6
50.005,1786571254.005,-47,-95,960,116,80,6
51.003,1786571255.003,-47,-95,960,116,80,6
52.005,1786571256.005,-47,-95,960,116,80,6
53.001,1786571257.000,-47,-95,960,116,80,6
54.002,1786571258.002,-46,-95,960,116,80,6
55.004,1786571259.004,-46,-95,907,116,80,6
56.004,1786571260.003,-46,-95,907,116,80,6
57.000,1786571261.001,-46,-95,907,116,80,6
58.002,1786571262.002,-46,-95,907,116,80,6
59.004,1786571263.003,-46,-95,907,116,80,6
60.003,1786571264.002,-46,-95,1080,116,80,6
61.001,1786571265.002,-47,-95,1080,116,80,6
62.004,1786571266.004,-46,-95,1080,116,80,6
63.004,1786571267.003,-46,-95,1080,116,80,6
64.003,1786571268.002,-46,-95,1080,116,80,6
65.000,1786571269.001,-47,-95,960,116,80,6
66.003,1786571270.003,-47,-95,960,116,80,6
67.004,1786571271.003,-47,-95,960,116,80,6
68.004,1786571272.004,-47,-95,960,116,80,6
69.005,1786571273.004,-46,-95,960,116,80,6
70.000,1786571274.000,-46,-95,1080,116,80,6
71.005,1786571275.005,-47,-95,1080,116,80,6
72.001,1786571276.001,-48,-95,1080,116,80,6
73.005,1786571277.005,-47,-95,1080,116,80,6
74.003,1786571278.003,-48,-95,1080,116,80,6
75.001,1786571279.001,-48,-95,1080,116,80,6
76.005,1786571280.005,-47,-95,1080,116,80,6
77.000,1786571281.000,-47,-95,1080,116,80,6
78.002,1786571282.002,-47,-95,1080,116,80,6
79.005,1786571283.005,-47,-95,1080,116,80,6
80.000,1786571284.000,-47,-95,1080,116,80,6
81.005,1786571285.005,-47,-95,1080,116,80,6
82.005,1786571286.005,-47,-95,1080,116,80,6
83.000,1786571287.000,-46,-95,1080,116,80,6
84.000,1786571288.000,-46,-95,1080,116,80,6
85.003,1786571289.003,-47,-95,1080,116,80,6
86.002,1786571290.002,-47,-95,1080,116,80,6
87.001,1786571291.003,-46,-95,1080,116,80,6
88.005,1786571292.005,-47,-95,1080,116,80,6
89.005,1786571293.005,-47,-95,1080,116,80,6
90.000,1786571294.000,-47,-95,1080,116,80,6
91.003,1786571295.003,-47,-95,1080,116,80,6
92.005,1786571296.005,-47,-95,1080,116,80,6
93.004,1786571297.004,-47,-95,1080,116,80,6
94.003,1786571298.002,-46,-95,1080,116,80,6
95.005,1786571299.005,-47,-95,1080,116,80,6
96.000,1786571300.000,-46,-95,1080,116,80,6
97.005,1786571301.005,-47,-95,1080,116,80,6
98.003,1786571302.003,-47,-95,1080,116,80,6
99.005,1786571303.005,-47,-95,1080,116,80,6
100.003,1786571304.003,-47,-95,1080,116,80,6
101.002,1786571305.002,-47,-95,1080,116,80,6
102.003,1786571306.003,-47,-95,1080,116,80,6
103.005,1786571307.005,-48,-95,1080,116,80,6
104.002,1786571308.002,-49,-95,1080,116,80,6
105.004,1786571309.005,-50,-95,1080,116,80,6
106.004,1786571310.005,-50,-95,1080,116,80,6
107.001,1786571311.001,-50,-95,1080,116,80,6
108.004,1786571312.004,-49,-95,1080,116,80,6
109.001,1786571313.001,-47,-95,1080,116,80,6
110.005,1786571314.005,-46,-95,960,116,80,6
111.000,1786571315.000,-47,-95,960,116,80,6
112.003,1786571316.004,-47,-95,960,116,80,6
113.002,1786571317.002,-47,-95,960,116,80,6
114.003,1786571318.003,-47,-95,960,116,80,6
115.003,1786571319.003,-50,-95,258,116,80,6
116.005,1786571320.005,-49,-95,258,116,80,6
117.003,1786571321.003,-48,-95,258,116,80,6
118.003,1786571322.004,-49,-95,258,116,80,6
119.000,1786571323.001,-49,-95,258,116,80,6
120.003,1786571324.003,-49,-95,1020,116,80,6
121.000,1786571325.000,-49,-95,1020,116,80,6
122.005,1786571326.005,-49,-95,1020,116,80,6
123.004,1786571327.004,-49,-95,1020,116,80,6
124.001,1786571328.001,-49,-95,1020,116,80,6
125.005,1786571329.005,-49,-95,960,116,80,6
126.003,1786571330.003,-49,-95,960,116,80,6
127.000,1786571331.000,-50,-95,960,116,80,6
128.005,1786571332.005,-49,-95,960,116,80,6
129.000,1786571333.000,-49,-95,960,116,80,6
130.001,1786571334.000,-48,-95,1020,116,80,6
131.005,1786571335.005,-47,-95,1020,116,80,6
132.005,1786571336.005,-49,-95,1020,116,80,6
133.005,1786571337.005,-48,-95,1020,116,80,6
134.005,1786571338.006,-48,-95,1020,116,80,6
135.000,1786571339.002,-47,-95,1080,116,80,6
136.001,1786571340.001,-48,-95,1080,116,80,6
137.004,1786571341.006,-48,-95,1080,116,80,6
138.005,1786571342.007,-48,-95,1080,116,80,6
139.003,1786571343.003,-48,-95,1080,116,80,6
140.001,1786571344.003,-48,-95,1080,116,80,6
141.005,1786571345.005,-48,-95,1080,116,80,6
